CODGEO;LIBGEO;annee;indice_position_sociale
29233;QUIMPERLE;2016;105.15
22362;TREGUIER;2016;104.80
29124;LESNEVEN;2016;111.20
56083;HENNEBONT;2016;106.43
29026;CHATEAULIN;2016;106.35
29220;PONT L ABBE;2016;98.00
22278;SAINT BRIEUC;2016;105.79
29232;QUIMPER;2016;107.90
35184;MONTAUBAN DE BRETAGNE;2016;109.70
56260;VANNES;2016;109.59
22113;LANNION;2016;108.50
29024;CARHAIX PLOUGUER;2016;110.35
35095;DOL DE BRETAGNE;2016;91.05
35093;DINARD;2016;111.40
56075;GUER;2016;100.10
35188;MONTFORT SUR MEU;2016;117.70
22210;PLOUBAZLANEC;2016;83.40
29019;BREST;2016;112.40
35238;RENNES;2016;113.25
22070;GUINGAMP;2016;99.75
22136;LOUDEAC;2016;98.10
29046;DOUARNENEZ;2016;96.83
35236;REDON;2016;101.66
35125;LA GUERCHE DE BRETAGNE;2016;109.00
56178;PONTIVY;2016;97.73
35337;TINTENIAC;2016;82.70
56117;LOCMINE;2016;85.20
29302;PONT DE BUIS LES QUIMERCH;2016;81.90
29103;LANDERNEAU;2016;109.07
29105;LANDIVISIAU;2016;103.35
56184;QUESTEMBERT;2016;105.60
22325;SAINT QUAY PORTRIEUX;2016;90.90
35115;FOUGERES;2016;99.23
56165;PLOERMEL;2016;105.10
56162;PLOEMEUR;2016;89.70
56121;LORIENT;2016;107.64
35288;SAINT MALO;2016;107.66
35047;BRUZ;2016;127.60
29039;CONCARNEAU;2016;107.13
35240;LE RHEU;2016;123.10
56091;JOSSELIN;2016;80.70
29151;MORLAIX;2016;104.85
35278;SAINT GREGOIRE;2016;132.00
35012;BAIN DE BRETAGNE;2016;111.70
56007;AURAY;2016;111.55
35051;CESSON SEVIGNE;2016;125.20
29259;SAINT POL DE LEON;2016;94.60
29162;PLEYBEN;2016;85.70
22262;QUINTIN;2016;100.40
22093;LAMBALLE;2016;100.37
22162;PAIMPOL;2016;105.40
29197;PLOUHINEC;2016;97.90
35297;SAINT MEEN LE GRAND;2016;100.70
56066;GOURIN;2016;92.50
35360;VITRE;2016;100.63
22050;DINAN;2016;110.63
22266;ROSTRENEN;2016;94.30
35085;COMBOURG;2016;113.40
56182;PRIZIAC;2016;90.80
56181;PORT LOUIS;2016;90.00
56263;SAINTE ANNE D AURAY;2016;115.30
56098;LANESTER;2016;109.60
56055;ETEL;2016;87.60
