CODGEO,LIBGEO,Code département,annee,type,taux_brut_de_mortalit___pour_mille_
22104,Languédias,22,2017,Taux brut de mortalité (pour mille),12.4
22105,Languenan,22,2017,Taux brut de mortalité (pour mille),12.4
22106,Langueux,22,2017,Taux brut de mortalité (pour mille),12.4
22107,Bon Repos sur Blavet,22,2017,Taux brut de mortalité (pour mille),12.4
22108,Lanleff,22,2017,Taux brut de mortalité (pour mille),12.4
22109,Lanloup,22,2017,Taux brut de mortalité (pour mille),12.4
22110,Lanmérin,22,2017,Taux brut de mortalité (pour mille),12.4
22111,Lanmodez,22,2017,Taux brut de mortalité (pour mille),12.4
22112,Lannebert,22,2017,Taux brut de mortalité (pour mille),12.4
22113,Lannion,22,2017,Taux brut de mortalité (pour mille),12.4
22114,Lanrelas,22,2017,Taux brut de mortalité (pour mille),12.4
22115,Lanrivain,22,2017,Taux brut de mortalité (pour mille),12.4
22116,Lanrodec,22,2017,Taux brut de mortalité (pour mille),12.4
22117,Lantic,22,2017,Taux brut de mortalité (pour mille),12.4
22118,Lanvallay,22,2017,Taux brut de mortalité (pour mille),12.4
22119,Lanvellec,22,2017,Taux brut de mortalité (pour mille),12.4
22121,Lanvollon,22,2017,Taux brut de mortalité (pour mille),12.4
22122,Laurenan,22,2017,Taux brut de mortalité (pour mille),12.4
22124,Lescouët-Gouarec,22,2017,Taux brut de mortalité (pour mille),12.4
22126,Le Leslay,22,2017,Taux brut de mortalité (pour mille),12.4
22127,Lézardrieux,22,2017,Taux brut de mortalité (pour mille),12.4
22128,Locarn,22,2017,Taux brut de mortalité (pour mille),12.4
22129,Loc-Envel,22,2017,Taux brut de mortalité (pour mille),12.4
22131,Loguivy-Plougras,22,2017,Taux brut de mortalité (pour mille),12.4
22132,Lohuec,22,2017,Taux brut de mortalité (pour mille),12.4
22133,Loscouët-sur-Meu,22,2017,Taux brut de mortalité (pour mille),12.4
22134,Louannec,22,2017,Taux brut de mortalité (pour mille),12.4
22135,Louargat,22,2017,Taux brut de mortalité (pour mille),12.4
22136,Loudéac,22,2017,Taux brut de mortalité (pour mille),12.4
22137,Maël-Carhaix,22,2017,Taux brut de mortalité (pour mille),12.4
22138,Maël-Pestivien,22,2017,Taux brut de mortalité (pour mille),12.4
22139,Magoar,22,2017,Taux brut de mortalité (pour mille),12.4
22140,La Malhoure,22,2017,Taux brut de mortalité (pour mille),12.4
22141,Mantallot,22,2017,Taux brut de mortalité (pour mille),12.4
22143,Matignon,22,2017,Taux brut de mortalité (pour mille),12.4
22144,La Méaugon,22,2017,Taux brut de mortalité (pour mille),12.4
22145,Mégrit,22,2017,Taux brut de mortalité (pour mille),12.4
22146,Mellionnec,22,2017,Taux brut de mortalité (pour mille),12.4
22147,Merdrignac,22,2017,Taux brut de mortalité (pour mille),12.4
22148,Mérillac,22,2017,Taux brut de mortalité (pour mille),12.4
22149,Merléac,22,2017,Taux brut de mortalité (pour mille),12.4
22150,Le Merzer,22,2017,Taux brut de mortalité (pour mille),12.4
22152,Minihy-Tréguier,22,2017,Taux brut de mortalité (pour mille),12.4
22153,Moncontour,22,2017,Taux brut de mortalité (pour mille),12.4
22155,La Motte,22,2017,Taux brut de mortalité (pour mille),12.4
22156,Moustéru,22,2017,Taux brut de mortalité (pour mille),12.4
22157,Le Moustoir,22,2017,Taux brut de mortalité (pour mille),12.4
22158,Guerlédan,22,2017,Taux brut de mortalité (pour mille),12.4
22160,Noyal,22,2017,Taux brut de mortalité (pour mille),12.4
22161,Pabu,22,2017,Taux brut de mortalité (pour mille),12.4
22162,Paimpol,22,2017,Taux brut de mortalité (pour mille),12.4
22163,Paule,22,2017,Taux brut de mortalité (pour mille),12.4
22164,Pédernec,22,2017,Taux brut de mortalité (pour mille),12.4
22165,Penguily,22,2017,Taux brut de mortalité (pour mille),12.4
22166,Penvénan,22,2017,Taux brut de mortalité (pour mille),12.4
22168,Perros-Guirec,22,2017,Taux brut de mortalité (pour mille),12.4
22169,Peumerit-Quintin,22,2017,Taux brut de mortalité (pour mille),12.4
22170,Plaine-Haute,22,2017,Taux brut de mortalité (pour mille),12.4
22171,Plaintel,22,2017,Taux brut de mortalité (pour mille),12.4
22172,Plancoët,22,2017,Taux brut de mortalité (pour mille),12.4
22174,Pléboulle,22,2017,Taux brut de mortalité (pour mille),12.4
22175,Plédéliac,22,2017,Taux brut de mortalité (pour mille),12.4
22176,Plédran,22,2017,Taux brut de mortalité (pour mille),12.4
22177,Pléguien,22,2017,Taux brut de mortalité (pour mille),12.4
22178,Pléhédel,22,2017,Taux brut de mortalité (pour mille),12.4
22179,Fréhel,22,2017,Taux brut de mortalité (pour mille),12.4
22180,Plélan-le-Petit,22,2017,Taux brut de mortalité (pour mille),12.4
22181,Plélauff,22,2017,Taux brut de mortalité (pour mille),12.4
22182,Plélo,22,2017,Taux brut de mortalité (pour mille),12.4
22183,Plémet,22,2017,Taux brut de mortalité (pour mille),12.4
22184,Plémy,22,2017,Taux brut de mortalité (pour mille),12.4
22185,Plénée-Jugon,22,2017,Taux brut de mortalité (pour mille),12.4
22186,Pléneuf-Val-André,22,2017,Taux brut de mortalité (pour mille),12.4
22187,Plérin,22,2017,Taux brut de mortalité (pour mille),12.4
22188,Plerneuf,22,2017,Taux brut de mortalité (pour mille),12.4
22189,Plésidy,22,2017,Taux brut de mortalité (pour mille),12.4
22190,Pleslin-Trigavou,22,2017,Taux brut de mortalité (pour mille),12.4
22193,Plestan,22,2017,Taux brut de mortalité (pour mille),12.4
22194,Plestin-les-Grèves,22,2017,Taux brut de mortalité (pour mille),12.4
22195,Pleubian,22,2017,Taux brut de mortalité (pour mille),12.4
22196,Pleudaniel,22,2017,Taux brut de mortalité (pour mille),12.4
22197,Pleudihen-sur-Rance,22,2017,Taux brut de mortalité (pour mille),12.4
22198,Pleumeur-Bodou,22,2017,Taux brut de mortalité (pour mille),12.4
22199,Pleumeur-Gautier,22,2017,Taux brut de mortalité (pour mille),12.4
22200,Pléven,22,2017,Taux brut de mortalité (pour mille),12.4
22201,Plévenon,22,2017,Taux brut de mortalité (pour mille),12.4
22202,Plévin,22,2017,Taux brut de mortalité (pour mille),12.4
22203,Plœuc-L'Hermitage,22,2017,Taux brut de mortalité (pour mille),12.4
22204,Ploëzal,22,2017,Taux brut de mortalité (pour mille),12.4
22205,Plorec-sur-Arguenon,22,2017,Taux brut de mortalité (pour mille),12.4
22206,Châtelaudren-Plouagat,22,2017,Taux brut de mortalité (pour mille),12.4
22207,Plouaret,22,2017,Taux brut de mortalité (pour mille),12.4
22208,Plouasne,22,2017,Taux brut de mortalité (pour mille),12.4
22209,Beaussais-sur-Mer,22,2017,Taux brut de mortalité (pour mille),12.4
22210,Ploubazlanec,22,2017,Taux brut de mortalité (pour mille),12.4
22211,Ploubezre,22,2017,Taux brut de mortalité (pour mille),12.4
22212,Plouëc-du-Trieux,22,2017,Taux brut de mortalité (pour mille),12.4
22213,Plouër-sur-Rance,22,2017,Taux brut de mortalité (pour mille),12.4
