CODGEO,LIBGEO,Code département,annee,type,code_com,geo_point,typemetric,nom_com,code_dep,valeur
22062,Gomené,22,2017,chomage,22062,"48.18009823823096, -2.4920269673041373",Taux de chômage trimestriel (en %),Gomené,22,8.33
22063,Gommenec'h,22,2017,chomage,22063,"48.637393629577176, -3.0478214611086005",Taux de chômage trimestriel (en %),Gommenec'h,22,8.33
22064,Gouarec,22,2017,chomage,22064,"48.23557643640287, -3.1955906946679757",Taux de chômage trimestriel (en %),Gouarec,22,8.33
22065,Goudelin,22,2017,chomage,22065,"48.60344887015755, -3.0228218900965196",Taux de chômage trimestriel (en %),Goudelin,22,8.33
22067,Grâces,22,2017,chomage,22067,"48.544781542331755, -3.1824290792102907",Taux de chômage trimestriel (en %),Grâces,22,8.33
22068,Grâce-Uzel,22,2017,chomage,22068,"48.25037219275086, -2.794165709487651",Taux de chômage trimestriel (en %),Grâce-Uzel,22,8.33
22069,Guenroc,22,2017,chomage,22069,"48.313634238785724, -2.0806987621722692",Taux de chômage trimestriel (en %),Guenroc,22,8.33
22070,Guingamp,22,2017,chomage,22070,"48.5606296002789, -3.153483856443051",Taux de chômage trimestriel (en %),Guingamp,22,8.33
22071,Guitté,22,2017,chomage,22071,"48.290858390709175, -2.102006426579971",Taux de chômage trimestriel (en %),Guitté,22,8.33
22072,Gurunhuel,22,2017,chomage,22072,"48.5084390529387, -3.2887619158372385",Taux de chômage trimestriel (en %),Gurunhuel,22,8.33
22073,La Harmoye,22,2017,chomage,22073,"48.34601944912991, -2.9687827470942216",Taux de chômage trimestriel (en %),La Harmoye,22,8.33
22074,Le Haut-Corlay,22,2017,chomage,22074,"48.34049323560732, -3.0321258004545015",Taux de chômage trimestriel (en %),Le Haut-Corlay,22,8.33
22075,Hémonstoir,22,2017,chomage,22075,"48.157236237898246, -2.850013769833973",Taux de chômage trimestriel (en %),Hémonstoir,22,8.33
22076,Hénanbihen,22,2017,chomage,22076,"48.55798404647853, -2.381554908505979",Taux de chômage trimestriel (en %),Hénanbihen,22,8.33
22077,Hénansal,22,2017,chomage,22077,"48.53792668096101, -2.4478386890533526",Taux de chômage trimestriel (en %),Hénansal,22,8.33
22079,Hénon,22,2017,chomage,22079,"48.38674852310644, -2.683781581736478",Taux de chômage trimestriel (en %),Hénon,22,8.33
22081,Hillion,22,2017,chomage,22081,"48.502995294821886, -2.6462131760070013",Taux de chômage trimestriel (en %),Hillion,22,8.33
22082,Le Hinglé,22,2017,chomage,22082,"48.397988313749984, -2.0828373600169927",Taux de chômage trimestriel (en %),Le Hinglé,22,8.33
22083,Illifaut,22,2017,chomage,22083,"48.14444310436233, -2.336130932655529",Taux de chômage trimestriel (en %),Illifaut,22,8.33
22084,Jugon-les-Lacs,22,2017,chomage,22084,"48.40610977170293, -2.326899750070944",Taux de chômage trimestriel (en %),Jugon-les-Lacs,22,8.33
22085,Kerbors,22,2017,chomage,22085,"48.823601548065966, -3.1817585984897487",Taux de chômage trimestriel (en %),Kerbors,22,8.33
22086,Kerfot,22,2017,chomage,22086,"48.73687170732632, -3.0314775082213297",Taux de chômage trimestriel (en %),Kerfot,22,8.33
22087,Kergrist-Moëlou,22,2017,chomage,22087,"48.29460489080976, -3.325603227294781",Taux de chômage trimestriel (en %),Kergrist-Moëlou,22,8.33
22088,Kerien,22,2017,chomage,22088,"48.40939302468879, -3.230680461477553",Taux de chômage trimestriel (en %),Kerien,22,8.33
22090,Kermaria-Sulard,22,2017,chomage,22090,"48.77349033102501, -3.3733885820496323",Taux de chômage trimestriel (en %),Kermaria-Sulard,22,8.33
22091,Kermoroc'h,22,2017,chomage,22091,"48.61487083619394, -3.2036352848070537",Taux de chômage trimestriel (en %),Kermoroc'h,22,8.33
22092,Kerpert,22,2017,chomage,22092,"48.389910884605634, -3.1364122348887866",Taux de chômage trimestriel (en %),Kerpert,22,8.33
