CODGEO;LIBGEO;annee;indice_position_sociale
29233;QUIMPERLE;2021;108.20
29039;CONCARNEAU;2021;109.17
22050;DINAN;2021;109.87
29026;CHATEAULIN;2021;110.55
35115;FOUGERES;2021;101.67
29162;PLEYBEN;2021;88.20
29220;PONT L ABBE;2021;103.73
29019;BREST;2021;112.58
35236;REDON;2021;103.14
22113;LANNION;2021;111.40
22093;LAMBALLE ARMOR;2021;101.77
29232;QUIMPER;2021;109.91
22278;SAINT BRIEUC;2021;107.69
35093;DINARD;2021;111.30
35288;SAINT MALO;2021;112.08
29124;LESNEVEN;2021;115.60
35238;RENNES;2021;113.35
35184;MONTAUBAN DE BRETAGNE;2021;110.30
56121;LORIENT;2021;111.96
56083;HENNEBONT;2021;106.20
35051;CESSON SEVIGNE;2021;126.75
35095;DOL DE BRETAGNE;2021;94.70
35278;SAINT GREGOIRE;2021;133.70
56181;PORT LOUIS;2021;92.40
56260;VANNES;2021;113.21
56098;LANESTER;2021;110.80
35085;COMBOURG;2021;117.50
35297;SAINT MEEN LE GRAND;2021;108.60
35360;VITRE;2021;99.30
22136;LOUDEAC;2021;97.35
22210;PLOUBAZLANEC;2021;87.60
29151;MORLAIX;2021;104.55
22266;ROSTRENEN;2021;92.35
22262;QUINTIN;2021;98.45
29046;DOUARNENEZ;2021;94.50
22070;GUINGAMP;2021;101.80
35125;LA GUERCHE DE BRETAGNE;2021;100.80
22362;TREGUIER;2021;107.15
56055;ETEL;2021;92.10
56178;PONTIVY;2021;98.07
56263;SAINTE ANNE D AURAY;2021;117.90
56182;PRIZIAC;2021;89.30
29259;SAINT POL DE LEON;2021;101.75
29105;LANDIVISIAU;2021;108.65
56075;GUER;2021;103.90
29103;LANDERNEAU;2021;113.47
35047;BRUZ;2021;129.75
35337;TINTENIAC;2021;83.90
22325;SAINT QUAY PORTRIEUX;2021;94.40
56007;AURAY;2021;112.85
56162;PLOEMEUR;2021;95.60
22162;PAIMPOL;2021;110.10
56165;PLOËRMEL;2021;102.70
56117;LOCMINE;2021;91.00
56066;GOURIN;2021;89.70
35152;LIFFRE;2021;126.90
29024;CARHAIX PLOUGUER;2021;116.10
29302;PONT DE BUIS LES QUIMERCH;2021;84.70
35188;MONTFORT SUR MEU;2021;120.70
35012;BAIN DE BRETAGNE;2021;118.20
56184;QUESTEMBERT;2021;104.60
56091;JOSSELIN;2021;81.30
35240;LE RHEU;2021;129.30
