CODGEO;LIBGEO;Loyer prédit en euros par m²;Code département
22001;Allineuc;7.131912273;22
22002;Andel;8.549887331;22
22003;Aucaleuc;7.991451151;22
22004;Bégard;7.633851683;22
22005;Belle-Isle-en-Terre;6.140839653;22
22006;Berhet;7.394885937;22
22008;Bobital;8.344447085;22
22009;Le Bodéo;7.595736608;22
22011;Boqueho;8.186327117;22
22012;La Bouillie;8.549887331;22
22013;Bourbriac;6.140839653;22
22014;Bourseul;7.991451151;22
22015;Bréhand;7.991451151;22
22016;Île-de-Bréhat;10.67180977;22
22018;Brélidy;7.394885937;22
22019;Bringolo;8.186327117;22
22020;Broons;7.657484343;22
22021;Brusvily;8.344447085;22
22023;Bulat-Pestivien;7.044022226;22
22024;Calanhel;6.140839653;22
22025;Callac;7.044022226;22
22026;Calorguen;8.344447085;22
22027;Le Cambout;7.16132059;22
22028;Camlez;7.959488257;22
22029;Canihuel;7.059937795;22
22030;Caouënnec-Lanvézéac;7.813625442;22
22031;Carnoët;7.044022226;22
22032;Caulnes;7.564519464;22
22033;Caurel;7.595736608;22
22034;Cavan;6.140839653;22
22035;Les Champs-Géraux;8.344447085;22
22036;La Chapelle-Blanche;6.787694606;22
22037;La Chapelle-Neuve;6.140839653;22
22038;Châtelaudren;8.241586716;22
22039;La Chèze;7.16132059;22
22040;Coadout;6.140839653;22
22041;Coatascorn;7.394885937;22
22042;Coatréven;7.959488257;22
22043;Coëtlogon;7.16132059;22
22044;Coëtmieux;8.549887331;22
22045;Cohiniac;8.186327117;22
22046;Le Mené;6.787694606;22
22047;Corlay;7.595736608;22
22048;Corseul;7.991451151;22
22049;Créhen;8.549887331;22
22050;Dinan;9.671145982;22
22052;Duault;7.044022226;22
22053;Éréac;7.16132059;22
22054;Erquy;8.549887331;22
22055;Binic-Étables-sur-Mer;9.138344691;22
22056;Évran;8.344447085;22
22057;Le Faouët;7.394885937;22
22059;Le Foeil;7.131912273;22
22060;Gausson;6.787694606;22
22061;Glomel;7.059937795;22
22062;Gomené;7.16132059;22
22063;Gommenec'h;7.394885937;22
22064;Gouarec;7.059937795;22
22065;Goudelin;8.186327117;22
22067;Grâces;6.140839653;22
22068;Grâce-Uzel;6.787694606;22
22069;Guenroc;6.787694606;22
22070;Guingamp;8.688697174;22
22071;Guitté;8.344447085;22
22072;Gurunhuel;6.140839653;22
22073;La Harmoye;7.131912273;22
22074;Le Haut-Corlay;7.595736608;22
22075;Hémonstoir;7.719318416;22
22076;Hénanbihen;8.549887331;22
22077;Hénansal;8.549887331;22
22078;Hengoat;7.394885937;22
22079;Hénon;7.131912273;22
22081;Hillion;9.203497598;22
22082;Le Hinglé;8.344447085;22
22083;Illifaut;7.16132059;22
22084;Jugon-les-Lacs - Commune nouvelle;7.991451151;22
22085;Kerbors;7.959488257;22
22086;Kerfot;7.959488257;22
22087;Kergrist-Moëlou;7.059937795;22
22088;Kerien;7.059937795;22
22090;Kermaria-Sulard;7.959488257;22
22091;Kermoroc'h;7.394885937;22
22092;Kerpert;6.140839653;22
22093;Lamballe;9.019463536;22
22094;Lancieux;10.25779495;22
22095;Landebaëron;7.394885937;22
22096;Landébia;8.549887331;22
22097;La Landec;7.991451151;22
22098;Landéhen;7.991451151;22
22099;Lanfains;7.131912273;22
22100;Langast;6.787694606;22
22101;Langoat;6.140839653;22
22103;Langrolay-sur-Rance;7.991451151;22
22104;Languédias;8.344447085;22
22105;Languenan;7.991451151;22
22106;Langueux;9.174572981;22
22107;Bon Repos sur Blavet;7.595736608;22
