CODGEO;LIBGEO;Loyer prédit en euros par m²;Code département;Code de la commune
35032;Bourgbarré;9.02692527291902;35;032
35295;Saint-Maugan;7.49693300780654;35;295
35133;Iffendic;8.16728485618515;35;133
35203;La Nouaye;7.49693300780654;35;203
35201;Muel;7.49693300780654;35;201
35023;Bédée;8.87994182988244;35;023
35277;Saint-Gonlay;7.49693300780654;35;277
35026;Bléruais;7.49693300780654;35;026
35290;Saint-Malon-sur-Mel;7.49693300780654;35;290
35135;Irodouër;7.49693300780654;35;135
35320;Saint-Uniac;7.49693300780654;35;320
44049;Le Croisic;11.1061136872228;44;049
44135;Le Pouliguen;11.1061136872228;44;135
44069;Guérande;10.7206440931113;44;069
44010;Batz-sur-Mer;11.1061136872228;44;010
44211;La Turballe;11.1061136872228;44;211
44104;Montrelais;7.68685678642081;44;104
35176;Guipry-Messac;7.86228171404228;35;176
35151;Lieuron;7.64522233754232;35;151
35155;Lohéac;7.64522233754232;35;155
35098;La Dominelais;7.64522233754232;35;098
35289;Saint-Malo-de-Phily;7.64522233754232;35;289
35202;La Noë-Blanche;7.64522233754232;35;202
56082;Helléan;6.94460022489794;56;082
22027;Le Cambout;6.94460022489794;22;027
56079;Guillac;6.94460022489794;56;079
56080;Guilliers;6.94460022489794;56;080
56070;Guégon;6.94460022489794;56;070
56134;Mohon;6.94460022489794;56;134
22288;Saint-Étienne-du-Gué-de-l'Isle;6.94460022489794;22;288
56091;Josselin;6.94460022489794;56;091
56197;Val d'Oust;6.94460022489794;56;197
56050;La Croix-Helléan;6.94460022489794;56;050
56102;Forges de Lanouée;6.94460022489794;56;102
56257;La Trinité-Porhoët;6.94460022489794;56;257
29259;Saint-Pol-de-Léon;8.44820161601327;29;259
29276;Sibiril;8.25657124333403;29;276
29239;Roscoff;8.25657124333403;29;239
29301;Trézilidé;8.25657124333403;29;301
29030;Cléder;8.17513553628332;29;030
29082;Île-de-Batz;8.25657124333403;29;082
29192;Plougoulm;8.25657124333403;29;192
29273;Santec;8.25657124333403;29;273
29184;Plouénan;8.25657124333403;29;184
29079;Henvic;8.25657124333403;29;079
35101;Dourdain;8.42280763861358;35;101
35031;La Bouëxière;8.42280763861358;35;031
35152;Liffré;9.83360557877805;35;152
35154;Livré-sur-Changeon;8.42280763861358;35;154
35059;La Chapelle-des-Fougeretz;8.65784535789315;35;059
35079;Chevaigné;9.21842122297044;35;079
35193;Montreuil-le-Gast;8.65784535789315;35;193
35197;Mouazé;8.65784535789315;35;197
35274;Saint-Germain-sur-Ille;8.65784535789315;35;274
35067;Chasné-sur-Illet;8.65784535789315;35;067
35173;Melesse;9.45930228408166;35;173
29169;Plogonnec;8.80979632221558;29;169
29066;Guengat;9.14167215728173;29;066
29134;Locronan;9.14167215728173;29;134
29232;Quimper;9.83921471240012;29;232
29170;Plomelin;9.14167215728173;29;170
29296;Tréméoc;9.14167215728173;29;296
29174;Plonéour-Lanvern;8.7389709321348;29;174
29173;Plonéis;9.14167215728173;29;173
29090;Kerlaz;9.14167215728173;29;090
56098;Lanester;10.7192378004611;56;098
56121;Lorient;11.2200303674738;56;121
29005;Baye;8.24752237088974;29;005
29031;Clohars-Carnoët;8.24752237088974;29;031
29297;Tréméven;8.24752237088974;29;297
29230;Querrien;8.24752237088974;29;230
29233;Quimperlé;8.53337808822911;29;233
56231;Saint-Nolff;9.38682302179048;56;231
56251;Theix-Noyalo;9.82314434386505;56;251
56248;Surzur;9.31615927492067;56;248
56255;Treffléan;9.38682302179048;56;255
56247;Sulniac;10.0143613633345;56;247
56018;Billiers;9.96843934168837;56;018
56015;Berric;9.96843934168837;56;015
56259;La Trinité-Surzur;9.96843934168837;56;259
56002;Ambon;9.96843934168837;56;002
56052;Damgan;9.96843934168837;56;052
56109;Lauzach;9.96843934168837;56;109
35308;Mesnil-Roc'h;7.59963761588212;35;308
35078;Cherrueix;8.09533068872345;35;078
35153;Lillemer;8.09533068872345;35;153
35255;Saint-Benoît-des-Ondes;8.09533068872345;35;255
35172;Meillac;8.09533068872345;35;172
35246;Roz-Landrieux;8.09533068872345;35;246
35132;Hirel;8.09533068872345;35;132
35362;Le Tronchet;8.09533068872345;35;362
35186;Mont-Dol;8.09533068872345;35;186
35224;Plerguer;8.04154294432575;35;224
35116;La Fresnais;8.09533068872345;35;116
35279;Saint-Guinoux;8.09533068872345;35;279
35361;Le Vivier-sur-Mer;8.09533068872345;35;361
29234;Rédené;8.58866164947718;29;234
56166;Plouay;8.66594847220243;56;166
56179;Pont-Scorff;8.4031900561577;56;179
29002;Arzano;8.4031900561577;29;002
29071;Guilligomarc'h;8.4031900561577;29;071
29136;Locunolé;8.4031900561577;29;136
29168;Plogoff;8.15051930909505;29;168
29063;Goulien;8.15051930909505;29;063
29003;Audierne;8.15051930909505;29;003
29108;Landudec;8.15051930909505;29;108
29143;Mahalon;8.15051930909505;29;143
29046;Douarnenez;8.90147666353711;29;046
29197;Plouhinec;8.15051930909505;29;197
29226;Poullan-sur-Mer;8.15051930909505;29;226
29070;Guiler-sur-Goyen;8.15051930909505;29;070
29028;Cléden-Cap-Sizun;8.15051930909505;29;028
29145;Confort-Meilars;8.15051930909505;29;145
29083;Île-de-Sein;8.15051930909505;29;083
29218;Pont-Croix;8.15051930909505;29;218
29008;Beuzec-Cap-Sizun;8.15051930909505;29;008
29215;Plozévet;8.15051930909505;29;215
29228;Primelin;8.15051930909505;29;228
44136;Préfailles;10.0859592856893;44;136
44131;Pornic;10.2115251073998;44;131
44012;La Bernerie-en-Retz;9.93662068244174;44;012
35185;Montautour;6.89230130154098;35;185
35062;La Chapelle-Janson;6.89230130154098;35;062
35232;Princé;6.89230130154098;35;232
35163;Luitré-Dompierre;6.89230130154098;35;163
35214;Parcé;6.89230130154098;35;214
35192;Montreuil-des-Landes;6.89230130154098;35;192
35025;Billé;6.89230130154098;35;025
35072;Châtillon-en-Vendelais;6.89230130154098;35;072
35137;Javené;6.89230130154098;35;137
44124;Le Pin;7.63052437011465;44;124
44118;Pannecé;7.63052437011465;44;118
44213;Loireauxence;8.32534027433781;44;213
44180;Vallons-de-l'Erdre;7.82599829846478;44;180
29181;Plouédern;8.98767605450625;29;181
29053;Le Faou;8.5804300763182;29;053
29270;Saint-Urbain;8.65857688108694;29;270
29156;Pencran;8.65857688108694;29;156
29240;Rosnoën;8.65857688108694;29;240
29237;La Roche-Maurice;8.65857688108694;29;237
29295;Trémaouézan;8.65857688108694;29;295
29078;Hanvec;8.65857688108694;29;078
29086;Irvillac;8.65857688108694;29;086
29085;Île-Tudy;9.55064053112299;29;085
29220;Pont-l'Abbé;9.38714795595231;29;220
29037;Combrit;9.55064053112299;29;037
