Code département;Libellé du département;% Exp/Ins;Score_Gauche;Score_Droite;Score_Divers
22;Côtes-d'Armor;56.7;30.86;68.5;0.64
29;Finistère;54.71;32.27;66.5;1.23
35;Ille-et-Vilaine;54.05;33.35;65.17;1.48
44;Loire-Atlantique;53.24;31.95;66.93;1.12
56;Morbihan;53.32;20.84;73.07;6.09
