Code département;Libellé du département;Code de la circonscription;Libellé de la circonscription;Inscrits;Abstentions;% Abs/Ins;Votants;% Vot/Ins;Blancs;% Blancs/Ins;% Blancs/Vot;Nuls;% Nuls/Ins;% Nuls/Vot;Exprimés;% Exp/Ins;% Exp/Vot;Score_Gauche;Score_Droite;Score_Divers
22;Côtes-d'Armor;1.0;1ère circonscription;89817.0;40261.0;44.83;49556.0;55.17;790.0;0.88;1.59;344.0;0.38;0.69;48422.0;53.91;97.71;36.7;62.71;0.59
22;Côtes-d'Armor;2.0;2ème circonscription;96776.0;40638.0;41.99;56138.0;58.01;878.0;0.91;1.56;384.0;0.4;0.68;54876.0;56.7;97.75;28.89;70.61;0.5
22;Côtes-d'Armor;3.0;3ème circonscription;86779.0;34420.0;39.66;52359.0;60.34;640.0;0.74;1.22;281.0;0.32;0.54;51438.0;59.27;98.24;15.93;83.52;0.55
22;Côtes-d'Armor;4.0;4ème circonscription;78707.0;32952.0;41.87;45755.0;58.13;698.0;0.89;1.53;386.0;0.49;0.84;44671.0;56.76;97.63;45.08;54.27;0.65
22;Côtes-d'Armor;5.0;5ème circonscription;103763.0;43523.0;41.94;60240.0;58.06;818.0;0.79;1.36;364.0;0.35;0.6;59058.0;56.92;98.04;30.12;68.94;0.94
29;Finistère;1.0;1ère circonscription;88861.0;38281.0;43.08;50580.0;56.92;597.0;0.67;1.18;304.0;0.34;0.6;49679.0;55.91;98.22;37.01;62.41;0.58
29;Finistère;2.0;2ème circonscription;77724.0;37455.0;48.19;40269.0;51.81;827.0;1.06;2.05;20.0;0.03;0.05;39422.0;50.72;97.9;35.63;62.29;2.08
29;Finistère;3.0;3ème circonscription;89322.0;40412.0;45.24;48910.0;54.76;816.0;0.91;1.67;188.0;0.21;0.38;47906.0;53.63;97.95;32.06;66.2;1.74
29;Finistère;4.0;4ème circonscription;82156.0;34633.0;42.16;47523.0;57.84;537.0;0.65;1.13;232.0;0.28;0.49;46754.0;56.91;98.38;31.86;67.19;0.95
29;Finistère;5.0;5ème circonscription;94494.0;41731.0;44.16;52763.0;55.84;520.0;0.55;0.99;186.0;0.2;0.35;52057.0;55.09;98.66;30.84;68.77;0.39
29;Finistère;6.0;6ème circonscription;89274.0;37372.0;41.86;51902.0;58.14;770.0;0.86;1.48;355.0;0.4;0.68;50777.0;56.88;97.83;22.7;74.46;2.84
29;Finistère;7.0;7ème circonscription;80383.0;34987.0;43.53;45396.0;56.47;651.0;0.81;1.43;376.0;0.47;0.83;44369.0;55.2;97.74;29.64;69.73;0.63
29;Finistère;8.0;8ème circonscription;87205.0;39838.0;45.68;47367.0;54.32;795.0;0.91;1.68;321.0;0.37;0.68;46251.0;53.04;97.64;39.51;59.75;0.74
35;Ille-et-Vilaine;1.0;1ère circonscription;89689.0;41080.0;45.8;48609.0;54.2;573.0;0.64;1.18;245.0;0.27;0.5;47791.0;53.29;98.32;38.38;58.46;3.16
35;Ille-et-Vilaine;2.0;2ème circonscription;92292.0;38356.0;41.56;53936.0;58.44;531.0;0.58;0.98;203.0;0.22;0.38;53202.0;57.65;98.64;31.72;66.34;1.94
35;Ille-et-Vilaine;3.0;3ème circonscription;86146.0;39801.0;46.2;46345.0;53.8;853.0;0.99;1.84;332.0;0.39;0.72;45160.0;52.42;97.44;72.75;26.52;0.73
35;Ille-et-Vilaine;4.0;4ème circonscription;90383.0;43180.0;47.77;47203.0;52.23;713.0;0.79;1.51;270.0;0.3;0.57;46220.0;51.14;97.92;33.94;65.45;0.61
35;Ille-et-Vilaine;5.0;5ème circonscription;103309.0;46205.0;44.73;57104.0;55.27;623.0;0.6;1.09;318.0;0.31;0.56;56163.0;54.36;98.35;20.66;78.98;0.36
35;Ille-et-Vilaine;6.0;6ème circonscription;86949.0;39157.0;45.03;47792.0;54.97;668.0;0.77;1.4;315.0;0.36;0.66;46809.0;53.84;97.94;19.65;79.83;0.52
35;Ille-et-Vilaine;7.0;7ème circonscription;99140.0;44802.0;45.19;54338.0;54.81;542.0;0.55;1.0;244.0;0.25;0.45;53552.0;54.02;98.55;16.96;81.08;1.96
35;Ille-et-Vilaine;8.0;8ème circonscription;83469.0;36520.0;43.75;46949.0;56.25;371.0;0.44;0.79;191.0;0.23;0.41;46387.0;55.57;98.8;39.12;58.29;2.59
44;Loire-Atlantique;1.0;1ère circonscription;74937.0;33085.0;44.15;41852.0;55.85;614.0;0.82;1.47;111.0;0.15;0.27;41127.0;54.88;98.27;27.0;71.84;1.16
44;Loire-Atlantique;2.0;2ème circonscription;85834.0;37107.0;43.23;48727.0;56.77;419.0;0.49;0.86;142.0;0.17;0.29;48166.0;56.12;98.85;39.24;59.4;1.36
44;Loire-Atlantique;3.0;3ème circonscription;92169.0;44055.0;47.8;48114.0;52.2;653.0;0.71;1.36;115.0;0.12;0.24;47346.0;51.37;98.4;40.29;56.84;2.87
