Code département;Libellé du département;Code de la circonscription;Libellé de la circonscription;Code de la commune;Libellé de la commune;Inscrits;Abstentions;% Abs/Ins;Votants;% Vot/Ins;Blancs;% Blancs/Ins;% Blancs/Vot;Nuls;% Nuls/Ins;% Nuls/Vot;Exprimés;% Exp/Ins;% Exp/Vot;Score_Gauche;Score_Droite;Score_Divers
29;Finistère;7.0;7ème circonscription;159.0;Peumérit;662.0;265.0;40.03;397.0;59.97;6.0;0.91;1.51;4.0;0.6;1.01;387.0;58.46;97.48;35.92;63.56;0.52
29;Finistère;7.0;7ème circonscription;165.0;Plobannalec-Lesconil;3055.0;1294.0;42.36;1761.0;57.64;31.0;1.01;1.76;14.0;0.46;0.8;1716.0;56.17;97.44;32.4;67.08;0.52
29;Finistère;7.0;7ème circonscription;167.0;Plogastel-Saint-Germain;1482.0;602.0;40.62;880.0;59.38;16.0;1.08;1.82;9.0;0.61;1.02;855.0;57.69;97.16;28.77;70.75;0.48
29;Finistère;7.0;7ème circonscription;168.0;Plogoff;1149.0;478.0;41.6;671.0;58.4;4.0;0.35;0.6;9.0;0.78;1.34;658.0;57.27;98.06;25.69;73.56;0.75
29;Finistère;7.0;7ème circonscription;169.0;Plogonnec;2313.0;952.0;41.16;1361.0;58.84;30.0;1.3;2.2;10.0;0.43;0.73;1321.0;57.11;97.06;30.81;68.28;0.91
29;Finistère;7.0;7ème circonscription;171.0;Plomeur;3271.0;1563.0;47.78;1708.0;52.22;17.0;0.52;1.0;19.0;0.58;1.11;1672.0;51.12;97.89;30.15;69.14;0.71
29;Finistère;7.0;7ème circonscription;173.0;Plonéis;1641.0;716.0;43.63;925.0;56.37;16.0;0.98;1.73;12.0;0.73;1.3;897.0;54.66;96.97;25.08;74.14;0.78
29;Finistère;7.0;7ème circonscription;174.0;Plonéour-Lanvern;4558.0;1879.0;41.22;2679.0;58.78;26.0;0.57;0.97;27.0;0.59;1.01;2626.0;57.61;98.02;31.19;68.32;0.49
29;Finistère;7.0;7ème circonscription;197.0;Plouhinec;3489.0;1508.0;43.22;1981.0;56.78;23.0;0.66;1.16;19.0;0.54;0.96;1939.0;55.57;97.88;20.99;78.45;0.56
29;Finistère;7.0;7ème circonscription;214.0;Plovan;632.0;240.0;37.97;392.0;62.03;4.0;0.63;1.02;2.0;0.32;0.51;386.0;61.08;98.47;34.72;65.29;0.0
29;Finistère;7.0;7ème circonscription;215.0;Plozévet;2589.0;1091.0;42.14;1498.0;57.86;20.0;0.77;1.34;9.0;0.35;0.6;1469.0;56.74;98.06;35.4;63.99;0.61
29;Finistère;7.0;7ème circonscription;218.0;Pont-Croix;1186.0;497.0;41.91;689.0;58.09;14.0;1.18;2.03;4.0;0.34;0.58;671.0;56.58;97.39;29.51;69.75;0.74
29;Finistère;7.0;7ème circonscription;220.0;Pont-l'Abbé;6954.0;3214.0;46.22;3740.0;53.78;42.0;0.6;1.12;42.0;0.6;1.12;3656.0;52.57;97.75;31.51;67.93;0.56
29;Finistère;7.0;7ème circonscription;224.0;Pouldergat;980.0;475.0;48.47;505.0;51.53;10.0;1.02;1.98;6.0;0.61;1.19;489.0;49.9;96.83;35.18;64.01;0.81
29;Finistère;7.0;7ème circonscription;225.0;Pouldreuzic;1718.0;681.0;39.64;1037.0;60.36;21.0;1.22;2.03;4.0;0.23;0.39;1012.0;58.91;97.59;32.71;66.3;0.99
29;Finistère;7.0;7ème circonscription;226.0;Poullan-sur-Mer;1238.0;539.0;43.54;699.0;56.46;9.0;0.73;1.29;7.0;0.57;1.0;683.0;55.17;97.71;28.27;71.44;0.29
29;Finistère;7.0;7ème circonscription;228.0;Primelin;679.0;271.0;39.91;408.0;60.09;3.0;0.44;0.74;0.0;0.0;0.0;405.0;59.65;99.26;21.73;77.78;0.49
29;Finistère;7.0;7ème circonscription;252.0;Saint-Jean-Trolimon;740.0;300.0;40.54;440.0;59.46;9.0;1.22;2.05;5.0;0.68;1.14;426.0;57.57;96.82;29.81;69.25;0.94
29;Finistère;7.0;7ème circonscription;284.0;Treffiagat;1986.0;826.0;41.59;1160.0;58.41;17.0;0.86;1.47;11.0;0.55;0.95;1132.0;57.0;97.59;28.09;71.38;0.53
29;Finistère;7.0;7ème circonscription;292.0;Tréguennec;275.0;94.0;34.18;181.0;65.82;2.0;0.73;1.1;1.0;0.36;0.55;178.0;64.73;98.34;38.21;61.8;0.0
29;Finistère;7.0;7ème circonscription;296.0;Tréméoc;987.0;405.0;41.03;582.0;58.97;7.0;0.71;1.2;4.0;0.41;0.69;571.0;57.85;98.11;34.68;64.45;0.87
29;Finistère;7.0;7ème circonscription;298.0;Tréogat;431.0;161.0;37.35;270.0;62.65;10.0;2.32;3.7;2.0;0.46;0.74;258.0;59.86;95.56;37.99;60.86;1.15
29;Finistère;8.0;8ème circonscription;2.0;Arzano;1013.0;435.0;42.94;578.0;57.06;20.0;1.97;3.46;4.0;0.39;0.69;554.0;54.69;95.85;42.07;57.57;0.36
29;Finistère;8.0;8ème circonscription;4.0;Bannalec;4316.0;1906.0;44.16;2410.0;55.84;43.0;1.0;1.78;27.0;0.63;1.12;2340.0;54.22;97.1;43.73;55.5;0.77
29;Finistère;8.0;8ème circonscription;5.0;Baye;953.0;379.0;39.77;574.0;60.23;10.0;1.05;1.74;3.0;0.31;0.52;561.0;58.87;97.74;47.23;52.05;0.72
29;Finistère;8.0;8ème circonscription;31.0;Clohars-Carnoët;4067.0;1722.0;42.34;2345.0;57.66;24.0;0.59;1.02;8.0;0.2;0.34;2313.0;56.87;98.64;35.15;64.51;0.34
29;Finistère;8.0;8ème circonscription;39.0;Concarneau;17210.0;8396.0;48.79;8814.0;51.21;102.0;0.59;1.16;42.0;0.24;0.48;8670.0;50.38;98.37;34.46;64.82;0.72
