Code département;Libellé département;Code de la circonscription;Libellé de la circonscription;Code de la commune;Libellé commune;Inscrits;Abstentions;% Abs/Ins;Votants;% Vot/Ins;Blancs;% Blancs/Ins;% Blancs/Vot;Nuls;% Nuls/Ins;% Nuls/Vot;Exprimés;% Exp/Ins;% Exp/Vot;Score_Gauche;Score_Droite;Score_Divers
35;Ille-et-Vilaine;08;8ème circonscription;275;Saint-Gilles;3550.0;1504.0;42.37;2046.0;57.63;33.0;0.93;1.61;18.0;0.51;0.88;1995.0;56.2;97.51;37.54;62.25;0.21
35;Ille-et-Vilaine;08;8ème circonscription;281;Saint-Jacques-de-la-Lande;8086.0;4061.0;50.22;4025.0;49.78;53.0;0.66;1.32;19.0;0.23;0.47;3953.0;48.89;98.21;54.24;45.03;0.73
35;Ille-et-Vilaine;08;8ème circonscription;353;Vezin-le-Coquet;3671.0;1587.0;43.23;2084.0;56.77;30.0;0.82;1.44;13.0;0.35;0.62;2041.0;55.6;97.94;42.73;57.07;0.2
44;Loire-Atlantique;01;1ère circonscription;109;Nantes;50093.0;23027.0;45.97;27066.0;54.03;266.0;0.53;0.98;82.0;0.16;0.3;26718.0;53.34;98.71;48.6;51.11;0.29
44;Loire-Atlantique;01;1ère circonscription;114;Orvault;20524.0;9136.0;44.51;11388.0;55.49;269.0;1.31;2.36;0.0;0.0;0.0;11119.0;54.18;97.64;37.54;62.22;0.24
44;Loire-Atlantique;01;1ère circonscription;194;Sautron;6508.0;2784.0;42.78;3724.0;57.22;38.0;0.58;1.02;19.0;0.29;0.51;3667.0;56.35;98.47;24.49;75.26;0.25
44;Loire-Atlantique;02;2ème circonscription;109;Nantes;91433.0;40126.0;43.89;51307.0;56.11;662.0;0.72;1.29;191.0;0.21;0.37;50454.0;55.18;98.34;48.77;51.21;0.02
44;Loire-Atlantique;03;3ème circonscription;045;Cordemais;2859.0;1488.0;52.05;1371.0;47.95;33.0;1.15;2.41;8.0;0.28;0.58;1330.0;46.52;97.01;35.12;64.88;0.0
44;Loire-Atlantique;03;3ème circonscription;047;Couëron;17040.0;8751.0;51.36;8289.0;48.64;366.0;2.15;4.42;0.0;0.0;0.0;7923.0;46.5;95.58;45.23;54.77;0.0
44;Loire-Atlantique;03;3ème circonscription;074;Indre;2962.0;1307.0;44.13;1655.0;55.87;44.0;1.49;2.66;11.0;0.37;0.66;1600.0;54.02;96.68;55.12;44.89;0.0
44;Loire-Atlantique;03;3ème circonscription;109;Nantes;28573.0;14731.0;51.56;13842.0;48.44;208.0;0.73;1.5;75.0;0.26;0.54;13559.0;47.45;97.96;52.35;47.63;0.02
44;Loire-Atlantique;03;3ème circonscription;158;Saint-Etienne-de-Montluc;6009.0;2883.0;47.98;3126.0;52.02;68.0;1.13;2.18;20.0;0.33;0.64;3038.0;50.56;97.18;35.09;64.91;0.0
44;Loire-Atlantique;03;3ème circonscription;162;Saint-Herblain;32901.0;16518.0;50.21;16383.0;49.79;269.0;0.82;1.64;97.0;0.29;0.59;16017.0;48.68;97.77;44.94;55.07;0.0
44;Loire-Atlantique;03;3ème circonscription;203;Le Temple-de-Bretagne;1439.0;804.0;55.87;635.0;44.13;13.0;0.9;2.05;4.0;0.28;0.63;618.0;42.95;97.32;36.4;63.59;0.01
44;Loire-Atlantique;03;3ème circonscription;217;Vigneux-de-Bretagne;4952.0;2372.0;47.9;2580.0;52.1;30.0;0.61;1.16;6.0;0.12;0.23;2544.0;51.37;98.6;34.51;65.48;0.01
44;Loire-Atlantique;04;4ème circonscription;018;Bouaye;6137.0;2799.0;45.61;3338.0;54.39;52.0;0.85;1.56;12.0;0.2;0.36;3274.0;53.35;98.08;41.47;58.53;0.0
44;Loire-Atlantique;04;4ème circonscription;020;Bouguenais;14801.0;7606.0;51.39;7195.0;48.61;96.0;0.65;1.33;39.0;0.26;0.54;7060.0;47.7;98.12;50.96;49.05;0.0
44;Loire-Atlantique;04;4ème circonscription;024;Brains;2250.0;1068.0;47.47;1182.0;52.53;21.0;0.93;1.78;6.0;0.27;0.51;1155.0;51.33;97.72;45.37;54.63;0.0
44;Loire-Atlantique;04;4ème circonscription;109;Nantes;7866.0;3798.0;48.28;4068.0;51.72;45.0;0.57;1.11;20.0;0.25;0.49;4003.0;50.89;98.4;58.39;41.62;0.0
44;Loire-Atlantique;04;4ème circonscription;130;Pont-Saint-Martin;5205.0;2650.0;50.91;2555.0;49.09;30.0;0.58;1.17;14.0;0.27;0.55;2511.0;48.24;98.28;36.71;63.27;0.02
44;Loire-Atlantique;04;4ème circonscription;143;Rezé;31332.0;14796.0;47.22;16536.0;52.78;176.0;0.56;1.06;91.0;0.29;0.55;16269.0;51.92;98.39;56.91;43.1;0.0
44;Loire-Atlantique;04;4ème circonscription;150;Saint-Aignan-Grandlieu;3238.0;1713.0;52.9;1525.0;47.1;31.0;0.96;2.03;10.0;0.31;0.66;1484.0;45.83;97.31;37.26;62.74;0.0
44;Loire-Atlantique;04;4ème circonscription;171;Saint-Léger-les-Vignes;1558.0;725.0;46.53;833.0;53.47;14.0;0.9;1.68;6.0;0.39;0.72;813.0;52.18;97.6;34.19;65.8;0.01
44;Loire-Atlantique;04;4ème circonscription;190;Saint-Sébastien-sur-Loire;20874.0;9872.0;47.29;11002.0;52.71;120.0;0.57;1.09;59.0;0.28;0.54;10823.0;51.85;98.37;44.64;55.35;0.01
44;Loire-Atlantique;05;5ème circonscription;026;Carquefou;15564.0;7298.0;46.89;8266.0;53.11;139.0;0.89;1.68;31.0;0.2;0.38;8096.0;52.02;97.94;31.39;67.43;1.18
44;Loire-Atlantique;05;5ème circonscription;027;Casson;1911.0;958.0;50.13;953.0;49.87;13.0;0.68;1.36;6.0;0.31;0.63;934.0;48.87;98.01;38.22;60.49;1.29
