CODGEO;LIBGEO;annee;indice_position_sociale
22278;SAINT BRIEUC;2019;107.79
29019;BREST;2019;112.84
35115;FOUGERES;2019;97.47
56007;AURAY;2019;112.60
29026;CHATEAULIN;2019;108.80
29220;PONT L ABBE;2019;101.70
29233;QUIMPERLE;2019;105.22
35288;SAINT MALO;2019;111.90
56162;PLOEMEUR;2019;93.20
35360;VITRE;2019;99.87
29103;LANDERNEAU;2019;111.80
56260;VANNES;2019;111.01
56121;LORIENT;2019;109.98
29046;DOUARNENEZ;2019;97.03
56117;LOCMINE;2019;88.60
56083;HENNEBONT;2019;107.33
29039;CONCARNEAU;2019;105.40
29232;QUIMPER;2019;108.49
35093;DINARD;2019;110.30
35238;RENNES;2019;113.73
22266;ROSTRENEN;2019;95.40
35184;MONTAUBAN DE BRETAGNE;2019;113.60
56178;PONTIVY;2019;98.07
22136;LOUDEAC;2019;98.45
22070;GUINGAMP;2019;100.22
29024;CARHAIX PLOUGUER;2019;115.95
22162;PAIMPOL;2019;111.40
22210;PLOUBAZLANEC;2019;89.10
22113;LANNION;2019;110.68
29162;PLEYBEN;2019;88.90
29259;SAINT POL DE LEON;2019;98.70
35095;DOL DE BRETAGNE;2019;95.20
35337;TINTENIAC;2019;84.70
29105;LANDIVISIAU;2019;110.05
22093;LAMBALLE ARMOR;2019;101.73
56075;GUER;2019;102.00
56263;SAINTE ANNE D AURAY;2019;115.50
29151;MORLAIX;2019;103.25
35125;LA GUERCHE DE BRETAGNE;2019;103.00
22362;TREGUIER;2019;106.60
22262;QUINTIN;2019;94.40
56098;LANESTER;2019;111.50
22325;SAINT QUAY PORTRIEUX;2019;92.20
35236;REDON;2019;102.76
35240;LE RHEU;2019;126.60
35047;BRUZ;2019;129.00
35051;CESSON SEVIGNE;2019;126.65
56184;QUESTEMBERT;2019;107.00
22050;DINAN;2019;110.10
56055;ETEL;2019;88.80
56066;GOURIN;2019;89.50
35297;SAINT MEEN LE GRAND;2019;102.60
29124;LESNEVEN;2019;109.60
35085;COMBOURG;2019;115.70
56181;PORT LOUIS;2019;89.10
35012;BAIN DE BRETAGNE;2019;114.80
29302;PONT DE BUIS LES QUIMERCH;2019;84.30
35278;SAINT GREGOIRE;2019;135.90
56091;JOSSELIN;2019;80.90
35188;MONTFORT SUR MEU;2019;117.50
56182;PRIZIAC;2019;86.30
56165;PLOERMEL;2019;106.90
