CODGEO;LIBGEO;Code département;annee;type;code_com;geo_point;typemetric;nom_com;code_dep;valeur
22050;Dinan;22;2024;taux mortalite;22050;48.44612091913673, -2.0513021305898294;Taux brut de mortalité (pour mille);Dinan;22;13.3
22052;Duault;22;2024;taux mortalite;22052;48.364888158360685, -3.436003914924763;Taux brut de mortalité (pour mille);Duault;22;13.3
22053;Éréac;22;2024;taux mortalite;22053;48.274287039210606, -2.343933387805328;Taux brut de mortalité (pour mille);Éréac;22;13.3
22054;Erquy;22;2024;taux mortalite;22054;48.61941709431571, -2.4583856753027256;Taux brut de mortalité (pour mille);Erquy;22;13.3
22055;Binic-Étables-sur-Mer;22;2024;taux mortalite;22055;48.616854697979164, -2.8378636783415674;Taux brut de mortalité (pour mille);Binic-Étables-sur-Mer;22;13.3
22056;Évran;22;2024;taux mortalite;22056;48.38491069365288, -1.9800607383794606;Taux brut de mortalité (pour mille);Évran;22;13.3
22057;Le Faouët;22;2024;taux mortalite;22057;48.67894581661151, -3.07389448983065;Taux brut de mortalité (pour mille);Le Faouët;22;13.3
22059;Le Fœil;22;2024;taux mortalite;22059;48.41742839393511, -2.9149768281574744;Taux brut de mortalité (pour mille);Le Fœil;22;13.3
22060;Gausson;22;2024;taux mortalite;22060;48.29305378448452, -2.761208784518627;Taux brut de mortalité (pour mille);Gausson;22;13.3
22061;Glomel;22;2024;taux mortalite;22061;48.205711014474254, -3.3880569640213585;Taux brut de mortalité (pour mille);Glomel;22;13.3
22062;Gomené;22;2024;taux mortalite;22062;48.18009823823096, -2.4920269673041373;Taux brut de mortalité (pour mille);Gomené;22;13.3
22063;Gommenec'h;22;2024;taux mortalite;22063;48.637393629577176, -3.0478214611086005;Taux brut de mortalité (pour mille);Gommenec'h;22;13.3
22064;Gouarec;22;2024;taux mortalite;22064;48.23557643640287, -3.1955906946679757;Taux brut de mortalité (pour mille);Gouarec;22;13.3
22065;Goudelin;22;2024;taux mortalite;22065;48.60344887015755, -3.0228218900965196;Taux brut de mortalité (pour mille);Goudelin;22;13.3
22067;Grâces;22;2024;taux mortalite;22067;48.544781542331755, -3.1824290792102907;Taux brut de mortalité (pour mille);Grâces;22;13.3
22068;Grâce-Uzel;22;2024;taux mortalite;22068;48.25037219275086, -2.794165709487651;Taux brut de mortalité (pour mille);Grâce-Uzel;22;13.3
22069;Guenroc;22;2024;taux mortalite;22069;48.313634238785724, -2.0806987621722692;Taux brut de mortalité (pour mille);Guenroc;22;13.3
22070;Guingamp;22;2024;taux mortalite;22070;48.5606296002789, -3.153483856443051;Taux brut de mortalité (pour mille);Guingamp;22;13.3
22071;Guitté;22;2024;taux mortalite;22071;48.290858390709175, -2.102006426579971;Taux brut de mortalité (pour mille);Guitté;22;13.3
22072;Gurunhuel;22;2024;taux mortalite;22072;48.5084390529387, -3.2887619158372385;Taux brut de mortalité (pour mille);Gurunhuel;22;13.3
22073;La Harmoye;22;2024;taux mortalite;22073;48.34601944912991, -2.9687827470942216;Taux brut de mortalité (pour mille);La Harmoye;22;13.3
22074;Le Haut-Corlay;22;2024;taux mortalite;22074;48.34049323560732, -3.0321258004545015;Taux brut de mortalité (pour mille);Le Haut-Corlay;22;13.3
22075;Hémonstoir;22;2024;taux mortalite;22075;48.157236237898246, -2.850013769833973;Taux brut de mortalité (pour mille);Hémonstoir;22;13.3
22076;Hénanbihen;22;2024;taux mortalite;22076;48.55798404647853, -2.381554908505979;Taux brut de mortalité (pour mille);Hénanbihen;22;13.3
22077;Hénansal;22;2024;taux mortalite;22077;48.53792668096101, -2.4478386890533526;Taux brut de mortalité (pour mille);Hénansal;22;13.3
22079;Hénon;22;2024;taux mortalite;22079;48.38674852310644, -2.683781581736478;Taux brut de mortalité (pour mille);Hénon;22;13.3
22081;Hillion;22;2024;taux mortalite;22081;48.502995294821886, -2.6462131760070013;Taux brut de mortalité (pour mille);Hillion;22;13.3
22082;Le Hinglé;22;2024;taux mortalite;22082;48.397988313749984, -2.0828373600169927;Taux brut de mortalité (pour mille);Le Hinglé;22;13.3
22083;Illifaut;22;2024;taux mortalite;22083;48.14444310436233, -2.336130932655529;Taux brut de mortalité (pour mille);Illifaut;22;13.3
22084;Jugon-les-Lacs;22;2024;taux mortalite;22084;48.40610977170293, -2.326899750070944;Taux brut de mortalité (pour mille);Jugon-les-Lacs;22;13.3
22085;Kerbors;22;2024;taux mortalite;22085;48.823601548065966, -3.1817585984897487;Taux brut de mortalité (pour mille);Kerbors;22;13.3
22086;Kerfot;22;2024;taux mortalite;22086;48.73687170732632, -3.0314775082213297;Taux brut de mortalité (pour mille);Kerfot;22;13.3
22087;Kergrist-Moëlou;22;2024;taux mortalite;22087;48.29460489080976, -3.325603227294781;Taux brut de mortalité (pour mille);Kergrist-Moëlou;22;13.3
22088;Kerien;22;2024;taux mortalite;22088;48.40939302468879, -3.230680461477553;Taux brut de mortalité (pour mille);Kerien;22;13.3
22090;Kermaria-Sulard;22;2024;taux mortalite;22090;48.77349033102501, -3.3733885820496323;Taux brut de mortalité (pour mille);Kermaria-Sulard;22;13.3
22091;Kermoroc'h;22;2024;taux mortalite;22091;48.61487083619394, -3.2036352848070537;Taux brut de mortalité (pour mille);Kermoroc'h;22;13.3
22092;Kerpert;22;2024;taux mortalite;22092;48.389910884605634, -3.1364122348887866;Taux brut de mortalité (pour mille);Kerpert;22;13.3
22093;Lamballe-Armor;22;2024;taux mortalite;22093;48.48507006191167, -2.529991643442078;Taux brut de mortalité (pour mille);Lamballe-Armor;22;13.3
22094;Lancieux;22;2024;taux mortalite;22094;48.6008414291423, -2.1483024381537885;Taux brut de mortalité (pour mille);Lancieux;22;13.3
22095;Landebaëron;22;2024;taux mortalite;22095;48.637650509074476, -3.2048713656243346;Taux brut de mortalité (pour mille);Landebaëron;22;13.3
22096;Landébia;22;2024;taux mortalite;22096;48.515180464964274, -2.337312105064261;Taux brut de mortalité (pour mille);Landébia;22;13.3
22097;La Landec;22;2024;taux mortalite;22097;48.425666428990944, -2.1831046599580097;Taux brut de mortalité (pour mille);La Landec;22;13.3
22098;Landéhen;22;2024;taux mortalite;22098;48.42207408910222, -2.541774101454152;Taux brut de mortalité (pour mille);Landéhen;22;13.3
22099;Lanfains;22;2024;taux mortalite;22099;48.365375784779125, -2.911495669833046;Taux brut de mortalité (pour mille);Lanfains;22;13.3
22101;Langoat;22;2024;taux mortalite;22101;48.73497449558828, -3.2979764397394744;Taux brut de mortalité (pour mille);Langoat;22;13.3
22103;Langrolay-sur-Rance;22;2024;taux mortalite;22103;48.55308299986967, -2.0144312068571977;Taux brut de mortalité (pour mille);Langrolay-sur-Rance;22;13.3
22104;Languédias;22;2024;taux mortalite;22104;48.39303484828071, -2.205712406659745;Taux brut de mortalité (pour mille);Languédias;22;13.3
22105;Languenan;22;2024;taux mortalite;22105;48.511472098182495, -2.1332072736296857;Taux brut de mortalité (pour mille);Languenan;22;13.3
22106;Langueux;22;2024;taux mortalite;22106;48.500031081029526, -2.7097215856661303;Taux brut de mortalité (pour mille);Langueux;22;13.3
22107;Bon Repos sur Blavet;22;2024;taux mortalite;22107;48.223996028900316, -3.123601388977203;Taux brut de mortalité (pour mille);Bon Repos sur Blavet;22;13.3
22108;Lanleff;22;2024;taux mortalite;22108;48.69305673767193, -3.04636642694735;Taux brut de mortalité (pour mille);Lanleff;22;13.3
22109;Lanloup;22;2024;taux mortalite;22109;48.70966609506934, -2.968620705247752;Taux brut de mortalité (pour mille);Lanloup;22;13.3
22110;Lanmérin;22;2024;taux mortalite;22110;48.7398955196288, -3.3575391923189737;Taux brut de mortalité (pour mille);Lanmérin;22;13.3
22111;Lanmodez;22;2024;taux mortalite;22111;48.8454616685329, -3.09657660537169;Taux brut de mortalité (pour mille);Lanmodez;22;13.3
22112;Lannebert;22;2024;taux mortalite;22112;48.65055054470595, -3.0090952031802667;Taux brut de mortalité (pour mille);Lannebert;22;13.3
22113;Lannion;22;2024;taux mortalite;22113;48.74372057592956, -3.4613016821377243;Taux brut de mortalité (pour mille);Lannion;22;13.3
22114;Lanrelas;22;2024;taux mortalite;22114;48.24615812698913, -2.295194979345555;Taux brut de mortalité (pour mille);Lanrelas;22;13.3
22115;Lanrivain;22;2024;taux mortalite;22115;48.359078803487385, -3.215236306567682;Taux brut de mortalité (pour mille);Lanrivain;22;13.3
22116;Lanrodec;22;2024;taux mortalite;22116;48.49956508747752, -3.0433156865257875;Taux brut de mortalité (pour mille);Lanrodec;22;13.3
22117;Lantic;22;2024;taux mortalite;22117;48.604206339182014, -2.8988006689345998;Taux brut de mortalité (pour mille);Lantic;22;13.3
22118;Lanvallay;22;2024;taux mortalite;22118;48.451577637530804, -2.0114884585409434;Taux brut de mortalité (pour mille);Lanvallay;22;13.3
22119;Lanvellec;22;2024;taux mortalite;22119;48.60676786917297, -3.527901691489259;Taux brut de mortalité (pour mille);Lanvellec;22;13.3
22121;Lanvollon;22;2024;taux mortalite;22121;48.63350892357017, -2.9901564356599057;Taux brut de mortalité (pour mille);Lanvollon;22;13.3
22122;Laurenan;22;2024;taux mortalite;22122;48.215038335689826, -2.5190952972110403;Taux brut de mortalité (pour mille);Laurenan;22;13.3
22124;Lescouët-Gouarec;22;2024;taux mortalite;22124;48.169286969951244, -3.206382639399914;Taux brut de mortalité (pour mille);Lescouët-Gouarec;22;13.3
22126;Le Leslay;22;2024;taux mortalite;22126;48.423990652869634, -2.965116944345763;Taux brut de mortalité (pour mille);Le Leslay;22;13.3
22127;Lézardrieux;22;2024;taux mortalite;22127;48.80343680465705, -3.109062725836568;Taux brut de mortalité (pour mille);Lézardrieux;22;13.3
22128;Locarn;22;2024;taux mortalite;22128;48.332427425246884, -3.409970759309314;Taux brut de mortalité (pour mille);Locarn;22;13.3
22129;Loc-Envel;22;2024;taux mortalite;22129;48.509790586279045, -3.4097689488209104;Taux brut de mortalité (pour mille);Loc-Envel;22;13.3
22131;Loguivy-Plougras;22;2024;taux mortalite;22131;48.510492935904004, -3.4917280120826337;Taux brut de mortalité (pour mille);Loguivy-Plougras;22;13.3
22132;Lohuec;22;2024;taux mortalite;22132;48.46218951875436, -3.5269405948992083;Taux brut de mortalité (pour mille);Lohuec;22;13.3
22133;Loscouët-sur-Meu;22;2024;taux mortalite;22133;48.175775994107525, -2.2510777423542248;Taux brut de mortalité (pour mille);Loscouët-sur-Meu;22;13.3
22134;Louannec;22;2024;taux mortalite;22134;48.78340809955394, -3.4120568265797586;Taux brut de mortalité (pour mille);Louannec;22;13.3
22135;Louargat;22;2024;taux mortalite;22135;48.561118148300984, -3.3409028444766324;Taux brut de mortalité (pour mille);Louargat;22;13.3
22136;Loudéac;22;2024;taux mortalite;22136;48.17440032876323, -2.750532416873835;Taux brut de mortalité (pour mille);Loudéac;22;13.3
22137;Maël-Carhaix;22;2024;taux mortalite;22137;48.288071874347686, -3.410398312983865;Taux brut de mortalité (pour mille);Maël-Carhaix;22;13.3
22138;Maël-Pestivien;22;2024;taux mortalite;22138;48.40376732808839, -3.29029377751837;Taux brut de mortalité (pour mille);Maël-Pestivien;22;13.3
22139;Magoar;22;2024;taux mortalite;22139;48.40121375167732, -3.1770985526858846;Taux brut de mortalité (pour mille);Magoar;22;13.3
22140;La Malhoure;22;2024;taux mortalite;22140;48.39639125952189, -2.4944073420385817;Taux brut de mortalité (pour mille);La Malhoure;22;13.3
22141;Mantallot;22;2024;taux mortalite;22141;48.71048099353365, -3.29263621851506;Taux brut de mortalité (pour mille);Mantallot;22;13.3
22143;Matignon;22;2024;taux mortalite;22143;48.601615150300745, -2.2901490021441537;Taux brut de mortalité (pour mille);Matignon;22;13.3
22144;La Méaugon;22;2024;taux mortalite;22144;48.50442394473271, -2.846723598380565;Taux brut de mortalité (pour mille);La Méaugon;22;13.3
22145;Mégrit;22;2024;taux mortalite;22145;48.389733819073925, -2.2674010013311876;Taux brut de mortalité (pour mille);Mégrit;22;13.3
22146;Mellionnec;22;2024;taux mortalite;22146;48.16847510350928, -3.290144558300456;Taux brut de mortalité (pour mille);Mellionnec;22;13.3
22147;Merdrignac;22;2024;taux mortalite;22147;48.193666253812545, -2.3962263250940814;Taux brut de mortalité (pour mille);Merdrignac;22;13.3
22148;Mérillac;22;2024;taux mortalite;22148;48.249932901208375, -2.391016176335452;Taux brut de mortalité (pour mille);Mérillac;22;13.3
22149;Merléac;22;2024;taux mortalite;22149;48.272646029706195, -2.9111878285013244;Taux brut de mortalité (pour mille);Merléac;22;13.3
22150;Le Merzer;22;2024;taux mortalite;22150;48.58175740786484, -3.075000469662988;Taux brut de mortalité (pour mille);Le Merzer;22;13.3
22152;Minihy-Tréguier;22;2024;taux mortalite;22152;48.7679732173215, -3.259390093495907;Taux brut de mortalité (pour mille);Minihy-Tréguier;22;13.3
22153;Moncontour;22;2024;taux mortalite;22153;48.35828488139576, -2.633834275073219;Taux brut de mortalité (pour mille);Moncontour;22;13.3
22155;La Motte;22;2024;taux mortalite;22155;48.23134465685796, -2.7051289011505077;Taux brut de mortalité (pour mille);La Motte;22;13.3
22156;Moustéru;22;2024;taux mortalite;22156;48.52882253971148, -3.234921403671726;Taux brut de mortalité (pour mille);Moustéru;22;13.3
22157;Le Moustoir;22;2024;taux mortalite;22157;48.273660027370745, -3.491275051198534;Taux brut de mortalité (pour mille);Le Moustoir;22;13.3
22158;Guerlédan;22;2024;taux mortalite;22158;48.20148379493991, -2.9579644187448335;Taux brut de mortalité (pour mille);Guerlédan;22;13.3
22160;Noyal;22;2024;taux mortalite;22160;48.451111692186544, -2.4637973567577154;Taux brut de mortalité (pour mille);Noyal;22;13.3
22161;Pabu;22;2024;taux mortalite;22161;48.582713836218865, -3.1431922194761563;Taux brut de mortalité (pour mille);Pabu;22;13.3
22162;Paimpol;22;2024;taux mortalite;22162;48.77341237427662, -3.0547770418859117;Taux brut de mortalité (pour mille);Paimpol;22;13.3
22163;Paule;22;2024;taux mortalite;22163;48.227634919736666, -3.4609317309280505;Taux brut de mortalité (pour mille);Paule;22;13.3
22164;Pédernec;22;2024;taux mortalite;22164;48.588027198469696, -3.2771017455559184;Taux brut de mortalité (pour mille);Pédernec;22;13.3
22165;Penguily;22;2024;taux mortalite;22165;48.37127054936064, -2.4942661296116597;Taux brut de mortalité (pour mille);Penguily;22;13.3
22166;Penvénan;22;2024;taux mortalite;22166;48.81700826489818, -3.301898392456582;Taux brut de mortalité (pour mille);Penvénan;22;13.3
22168;Perros-Guirec;22;2024;taux mortalite;22168;48.81212816242925, -3.4669735051428145;Taux brut de mortalité (pour mille);Perros-Guirec;22;13.3
22169;Peumerit-Quintin;22;2024;taux mortalite;22169;48.3633623991001, -3.2850971954653323;Taux brut de mortalité (pour mille);Peumerit-Quintin;22;13.3
22170;Plaine-Haute;22;2024;taux mortalite;22170;48.44330686250468, -2.859141354483835;Taux brut de mortalité (pour mille);Plaine-Haute;22;13.3
22171;Plaintel;22;2024;taux mortalite;22171;48.41026620350685, -2.8103473870124343;Taux brut de mortalité (pour mille);Plaintel;22;13.3
22172;Plancoët;22;2024;taux mortalite;22172;48.514587985964525, -2.2193340279391998;Taux brut de mortalité (pour mille);Plancoët;22;13.3
22174;Pléboulle;22;2024;taux mortalite;22174;48.59482857983857, -2.3335886850339618;Taux brut de mortalité (pour mille);Pléboulle;22;13.3
22175;Plédéliac;22;2024;taux mortalite;22175;48.468676894060096, -2.3716237728696155;Taux brut de mortalité (pour mille);Plédéliac;22;13.3
22176;Plédran;22;2024;taux mortalite;22176;48.44322179655236, -2.7451057245552435;Taux brut de mortalité (pour mille);Plédran;22;13.3
22177;Pléguien;22;2024;taux mortalite;22177;48.63483483497731, -2.9483662165981883;Taux brut de mortalité (pour mille);Pléguien;22;13.3
22178;Pléhédel;22;2024;taux mortalite;22178;48.69465351088745, -3.0067518941250695;Taux brut de mortalité (pour mille);Pléhédel;22;13.3
22179;Fréhel;22;2024;taux mortalite;22179;48.634580776416946, -2.361912056247098;Taux brut de mortalité (pour mille);Fréhel;22;13.3
22180;Plélan-le-Petit;22;2024;taux mortalite;22180;48.426818874411204, -2.224119382295178;Taux brut de mortalité (pour mille);Plélan-le-Petit;22;13.3
