LIBGEO;CODGEO;filiere;energie_type;production_mwh;puissances_kw;Code département;Code de la commune
Allineuc;22001;Bois énergie domestique;Chaleur;959.0;1237.0;22;001
Allineuc;22001;Hydroélectricité;Electricité;0.0;0.0;22;001
Allineuc;22001;PAC (aérothermie et géothermie);Chaleur;466.0;651.0;22;001
Allineuc;22001;Solaire PV;Electricité;2483.0;1912.0;22;001
Allineuc;22001;Solaire thermique;Chaleur;9.0;10.0;22;001
Andel;22002;Bois énergie domestique;Chaleur;1861.0;2401.0;22;002
Andel;22002;Hydroélectricité;Electricité;0.0;0.0;22;002
Andel;22002;Méthanisation;Chaleur;2498.0;360.0;22;002
Andel;22002;Méthanisation;Electricité;2193.0;316.0;22;002
Andel;22002;PAC (aérothermie et géothermie);Chaleur;727.0;1016.0;22;002
Andel;22002;Solaire PV;Electricité;54.0;56.0;22;002
Andel;22002;Solaire thermique;Chaleur;14.0;20.0;22;002
Aucaleuc;22003;Bois énergie domestique;Chaleur;1673.0;2159.0;22;003
Aucaleuc;22003;Hydroélectricité;Electricité;0.0;0.0;22;003
Aucaleuc;22003;PAC (aérothermie et géothermie);Chaleur;601.0;840.0;22;003
Aucaleuc;22003;Solaire PV;Electricité;25.0;31.0;22;003
Aucaleuc;22003;Solaire thermique;Chaleur;12.0;20.0;22;003
Bégard;22004;Bois énergie chaufferies;Chaleur;3820.0;1800.0;22;004
Bégard;22004;Bois énergie domestique;Chaleur;7632.0;9847.0;22;004
Bégard;22004;Fossile;Chaleur;14203.0;4951.0;22;004
Bégard;22004;Fossile;Electricité;12625.0;4401.0;22;004
Bégard;22004;Hydroélectricité;Electricité;0.0;0.0;22;004
Bégard;22004;Méthanisation;Biométhane;0.0;0.0;22;004
Bégard;22004;PAC (aérothermie et géothermie);Chaleur;3368.0;4705.0;22;004
Bégard;22004;Solaire PV;Electricité;117.0;195.0;22;004
Bégard;22004;Solaire thermique;Chaleur;66.0;90.0;22;004
Belle-Isle-en-Terre;22005;Bois énergie chaufferies;Chaleur;344.0;300.0;22;005
Belle-Isle-en-Terre;22005;Bois énergie domestique;Chaleur;2011.0;2594.0;22;005
Belle-Isle-en-Terre;22005;Hydroélectricité;Electricité;0.0;0.0;22;005
Belle-Isle-en-Terre;22005;PAC (aérothermie et géothermie);Chaleur;888.0;1241.0;22;005
Belle-Isle-en-Terre;22005;Solaire PV;Electricité;55.0;66.0;22;005
