CODGEO;LIBGEO;Code département;annee;type;code_de_la_commune;code_com;geo_point;energie_type;filiere;puissances_kw;production_mwh;nom_com;code_dep
22008;Bobital;22;2022;production energetique;008;22008;48.41461576165647, -2.0974341309190154;Chaleur;Solaire thermique;20.0;15.0;Bobital;22
22008;Bobital;22;2022;production energetique;008;22008;48.41461576165647, -2.0974341309190154;Chaleur;PAC (aérothermie et géothermie);1101.0;788.0;Bobital;22
22008;Bobital;22;2022;production energetique;008;22008;48.41461576165647, -2.0974341309190154;Electricité;Hydroélectricité;0.0;0.0;Bobital;22
22008;Bobital;22;2022;production energetique;008;22008;48.41461576165647, -2.0974341309190154;Chaleur;Bois énergie domestique;2745.0;2128.0;Bobital;22
22009;Le Bodéo;22;2022;production energetique;009;22009;48.32624169771798, -2.9213545296739416;Chaleur;Solaire thermique;0.0;4.0;Le Bodéo;22
22009;Le Bodéo;22;2022;production energetique;009;22009;48.32624169771798, -2.9213545296739416;Electricité;Solaire PV;65.0;78.0;Le Bodéo;22
22009;Le Bodéo;22;2022;production energetique;009;22009;48.32624169771798, -2.9213545296739416;Chaleur;PAC (aérothermie et géothermie);254.0;182.0;Le Bodéo;22
22009;Le Bodéo;22;2022;production energetique;009;22009;48.32624169771798, -2.9213545296739416;Electricité;Hydroélectricité;0.0;0.0;Le Bodéo;22
22009;Le Bodéo;22;2022;production energetique;009;22009;48.32624169771798, -2.9213545296739416;Chaleur;Bois énergie domestique;436.0;338.0;Le Bodéo;22
22011;Boqueho;22;2022;production energetique;011;22011;48.46832061079392, -2.9849252040192678;Chaleur;Solaire thermique;20.0;14.0;Boqueho;22
22011;Boqueho;22;2022;production energetique;011;22011;48.46832061079392, -2.9849252040192678;Electricité;Solaire PV;31.0;26.0;Boqueho;22
22011;Boqueho;22;2022;production energetique;011;22011;48.46832061079392, -2.9849252040192678;Chaleur;PAC (aérothermie et géothermie);996.0;713.0;Boqueho;22
22011;Boqueho;22;2022;production energetique;011;22011;48.46832061079392, -2.9849252040192678;Electricité;Hydroélectricité;0.0;0.0;Boqueho;22
22011;Boqueho;22;2022;production energetique;011;22011;48.46832061079392, -2.9849252040192678;Electricité;Éolien terrestre;4000.0;9850.0;Boqueho;22
22011;Boqueho;22;2022;production energetique;011;22011;48.46832061079392, -2.9849252040192678;Chaleur;Bois énergie domestique;2139.0;1658.0;Boqueho;22
22012;La Bouillie;22;2022;production energetique;012;22012;48.58358930983129, -2.4419466987465595;Chaleur;Solaire thermique;20.0;13.0;La Bouillie;22
22012;La Bouillie;22;2022;production energetique;012;22012;48.58358930983129, -2.4419466987465595;Chaleur;PAC (aérothermie et géothermie);963.0;689.0;La Bouillie;22
22012;La Bouillie;22;2022;production energetique;012;22012;48.58358930983129, -2.4419466987465595;Electricité;Hydroélectricité;0.0;0.0;La Bouillie;22
22012;La Bouillie;22;2022;production energetique;012;22012;48.58358930983129, -2.4419466987465595;Chaleur;Bois énergie domestique;2234.0;1731.0;La Bouillie;22
22013;Bourbriac;22;2022;production energetique;013;22013;48.46614145008935, -3.1998492745005143;Chaleur;Solaire thermique;50.0;36.0;Bourbriac;22
22013;Bourbriac;22;2022;production energetique;013;22013;48.46614145008935, -3.1998492745005143;Electricité;Solaire PV;267.0;191.0;Bourbriac;22
22013;Bourbriac;22;2022;production energetique;013;22013;48.46614145008935, -3.1998492745005143;Chaleur;PAC (aérothermie et géothermie);2552.0;1827.0;Bourbriac;22
22013;Bourbriac;22;2022;production energetique;013;22013;48.46614145008935, -3.1998492745005143;Electricité;Hydroélectricité;0.0;0.0;Bourbriac;22
22013;Bourbriac;22;2022;production energetique;013;22013;48.46614145008935, -3.1998492745005143;Electricité;Éolien terrestre;29200.0;45937.0;Bourbriac;22
22013;Bourbriac;22;2022;production energetique;013;22013;48.46614145008935, -3.1998492745005143;Chaleur;Bois énergie domestique;5357.0;4152.0;Bourbriac;22
22013;Bourbriac;22;2022;production energetique;013;22013;48.46614145008935, -3.1998492745005143;Chaleur;Bois énergie chaufferies;600.0;533.0;Bourbriac;22
22014;Bourseul;22;2022;production energetique;014;22014;48.46712529195602, -2.2649305685662817;Chaleur;Solaire thermique;20.0;17.0;Bourseul;22
22014;Bourseul;22;2022;production energetique;014;22014;48.46712529195602, -2.2649305685662817;Electricité;Solaire PV;163.0;191.0;Bourseul;22
22014;Bourseul;22;2022;production energetique;014;22014;48.46712529195602, -2.2649305685662817;Chaleur;PAC (aérothermie et géothermie);1230.0;880.0;Bourseul;22
22014;Bourseul;22;2022;production energetique;014;22014;48.46712529195602, -2.2649305685662817;Electricité;Hydroélectricité;0.0;0.0;Bourseul;22
22014;Bourseul;22;2022;production energetique;014;22014;48.46712529195602, -2.2649305685662817;Chaleur;Bois énergie domestique;2685.0;2081.0;Bourseul;22
22015;Bréhand;22;2022;production energetique;015;22015;48.39371348739721, -2.5887890119592436;Chaleur;Solaire thermique;30.0;22.0;Bréhand;22
22015;Bréhand;22;2022;production energetique;015;22015;48.39371348739721, -2.5887890119592436;Electricité;Solaire PV;728.0;274.0;Bréhand;22
22015;Bréhand;22;2022;production energetique;015;22015;48.39371348739721, -2.5887890119592436;Chaleur;PAC (aérothermie et géothermie);1590.0;1138.0;Bréhand;22
22015;Bréhand;22;2022;production energetique;015;22015;48.39371348739721, -2.5887890119592436;Electricité;Hydroélectricité;0.0;0.0;Bréhand;22
22015;Bréhand;22;2022;production energetique;015;22015;48.39371348739721, -2.5887890119592436;Chaleur;Bois énergie domestique;3992.0;3094.0;Bréhand;22
22016;Île-de-Bréhat;22;2022;production energetique;016;22016;48.84999753399896, -3.0020099584464472;Chaleur;Solaire thermique;30.0;23.0;Île-de-Bréhat;22
22016;Île-de-Bréhat;22;2022;production energetique;016;22016;48.84999753399896, -3.0020099584464472;Chaleur;PAC (aérothermie et géothermie);1637.0;1172.0;Île-de-Bréhat;22
22016;Île-de-Bréhat;22;2022;production energetique;016;22016;48.84999753399896, -3.0020099584464472;Electricité;Hydroélectricité;0.0;0.0;Île-de-Bréhat;22
22016;Île-de-Bréhat;22;2022;production energetique;016;22016;48.84999753399896, -3.0020099584464472;Chaleur;Bois énergie domestique;1557.0;1206.0;Île-de-Bréhat;22
