Code département;Libellé département;Code commune;Libellé commune;Inscrits;Votants;% Votants;Abstentions;% Abstentions;Exprimés;% Exprimés/inscrits;% Exprimés/votants;Blancs;% Blancs/inscrits;% Blancs/votants;Nuls;% Nuls/inscrits;% Nuls/votants;Score_Gauche;Score_Droite;Score_Divers
35;Ille-et-Vilaine;35082.0;Coësmes;995.0;682.0;68,54%;313.0;31,46%;665.0;66,83%;97,51%;14.0;1,41%;2,05%;3.0;0,30%;0,44%;23.91;76.09;0.0
35;Ille-et-Vilaine;35084.0;Comblessac;531.0;375.0;70,62%;156.0;29,38%;363.0;68,36%;96,80%;10.0;1,88%;2,67%;2.0;0,38%;0,53%;18.73;81.27;0.0
35;Ille-et-Vilaine;35085.0;Combourg;4846.0;3591.0;74,10%;1255.0;25,90%;3491.0;72,04%;97,22%;61.0;1,26%;1,70%;39.0;0,80%;1,09%;35.4;64.59;0.01
35;Ille-et-Vilaine;35086.0;Combourtillé;404.0;289.0;71,53%;115.0;28,47%;281.0;69,55%;97,23%;7.0;1,73%;2,42%;1.0;0,25%;0,35%;22.42;77.57;0.01
35;Ille-et-Vilaine;35087.0;Cornillé;681.0;505.0;74,16%;176.0;25,84%;476.0;69,90%;94,26%;19.0;2,79%;3,76%;10.0;1,47%;1,98%;18.7;81.31;0.0
35;Ille-et-Vilaine;35088.0;Corps-Nuds;2417.0;1880.0;77,78%;537.0;22,22%;1830.0;75,71%;97,34%;33.0;1,37%;1,76%;17.0;0,70%;0,90%;38.96;61.04;0.0
35;Ille-et-Vilaine;35089.0;La Couyère;311.0;223.0;71,70%;88.0;28,30%;211.0;67,85%;94,62%;9.0;2,89%;4,04%;3.0;0,96%;1,35%;31.28;68.72;0.0
35;Ille-et-Vilaine;35090.0;Crevin;1966.0;1558.0;79,25%;408.0;20,75%;1497.0;76,14%;96,08%;55.0;2,80%;3,53%;6.0;0,31%;0,39%;33.0;67.0;0.0
35;Ille-et-Vilaine;35091.0;Le Crouais;438.0;341.0;77,85%;97.0;22,15%;335.0;76,48%;98,24%;3.0;0,68%;0,88%;3.0;0,68%;0,88%;29.25;70.76;0.0
35;Ille-et-Vilaine;35092.0;Cuguen;600.0;438.0;73,00%;162.0;27,00%;414.0;69,00%;94,52%;12.0;2,00%;2,74%;12.0;2,00%;2,74%;38.4;61.59;0.01
