CODGEO,LIBGEO,Code département,annee,type,code_de_la_commune,code_com,geo_point,energie_type,filiere,puissances_kw,production_mwh,nom_com,code_dep
22009,Le Bodéo,22,2017,production energetique,009,22009,"48.32624169771798, -2.9213545296739416",Electricité,Hydroélectricité,0.0,0.0,Le Bodéo,22
22009,Le Bodéo,22,2017,production energetique,009,22009,"48.32624169771798, -2.9213545296739416",Chaleur,Bois énergie domestique,407.0,343.0,Le Bodéo,22
22011,Boqueho,22,2017,production energetique,011,22011,"48.46832061079392, -2.9849252040192678",Chaleur,Solaire thermique,20.0,12.0,Boqueho,22
22011,Boqueho,22,2017,production energetique,011,22011,"48.46832061079392, -2.9849252040192678",Electricité,Solaire PV,29.0,26.0,Boqueho,22
22011,Boqueho,22,2017,production energetique,011,22011,"48.46832061079392, -2.9849252040192678",Chaleur,PAC (aérothermie et géothermie),476.0,374.0,Boqueho,22
22011,Boqueho,22,2017,production energetique,011,22011,"48.46832061079392, -2.9849252040192678",Electricité,Hydroélectricité,0.0,0.0,Boqueho,22
22011,Boqueho,22,2017,production energetique,011,22011,"48.46832061079392, -2.9849252040192678",Electricité,Éolien terrestre,4000.0,5594.0,Boqueho,22
22011,Boqueho,22,2017,production energetique,011,22011,"48.46832061079392, -2.9849252040192678",Chaleur,Bois énergie domestique,1994.0,1683.0,Boqueho,22
22012,La Bouillie,22,2017,production energetique,012,22012,"48.58358930983129, -2.4419466987465595",Chaleur,Solaire thermique,20.0,11.0,La Bouillie,22
22012,La Bouillie,22,2017,production energetique,012,22012,"48.58358930983129, -2.4419466987465595",Chaleur,PAC (aérothermie et géothermie),460.0,362.0,La Bouillie,22
22012,La Bouillie,22,2017,production energetique,012,22012,"48.58358930983129, -2.4419466987465595",Electricité,Hydroélectricité,0.0,0.0,La Bouillie,22
22012,La Bouillie,22,2017,production energetique,012,22012,"48.58358930983129, -2.4419466987465595",Chaleur,Bois énergie domestique,2082.0,1757.0,La Bouillie,22
22013,Bourbriac,22,2017,production energetique,013,22013,"48.46614145008935, -3.1998492745005143",Chaleur,Solaire thermique,40.0,30.0,Bourbriac,22
22013,Bourbriac,22,2017,production energetique,013,22013,"48.46614145008935, -3.1998492745005143",Electricité,Solaire PV,58.0,63.0,Bourbriac,22
22013,Bourbriac,22,2017,production energetique,013,22013,"48.46614145008935, -3.1998492745005143",Chaleur,PAC (aérothermie et géothermie),1220.0,959.0,Bourbriac,22
22013,Bourbriac,22,2017,production energetique,013,22013,"48.46614145008935, -3.1998492745005143",Electricité,Hydroélectricité,0.0,0.0,Bourbriac,22
22013,Bourbriac,22,2017,production energetique,013,22013,"48.46614145008935, -3.1998492745005143",Electricité,Éolien terrestre,10000.0,23462.0,Bourbriac,22
22013,Bourbriac,22,2017,production energetique,013,22013,"48.46614145008935, -3.1998492745005143",Chaleur,Bois énergie domestique,4993.0,4214.0,Bourbriac,22
22013,Bourbriac,22,2017,production energetique,013,22013,"48.46614145008935, -3.1998492745005143",Chaleur,Bois énergie chaufferies,0.0,0.0,Bourbriac,22
22014,Bourseul,22,2017,production energetique,014,22014,"48.46712529195602, -2.2649305685662817",Chaleur,Solaire thermique,20.0,14.0,Bourseul,22
22014,Bourseul,22,2017,production energetique,014,22014,"48.46712529195602, -2.2649305685662817",Electricité,Solaire PV,31.0,71.0,Bourseul,22
22014,Bourseul,22,2017,production energetique,014,22014,"48.46712529195602, -2.2649305685662817",Chaleur,PAC (aérothermie et géothermie),588.0,462.0,Bourseul,22
22014,Bourseul,22,2017,production energetique,014,22014,"48.46712529195602, -2.2649305685662817",Electricité,Hydroélectricité,0.0,0.0,Bourseul,22
22014,Bourseul,22,2017,production energetique,014,22014,"48.46712529195602, -2.2649305685662817",Chaleur,Bois énergie domestique,2502.0,2112.0,Bourseul,22
22015,Bréhand,22,2017,production energetique,015,22015,"48.39371348739721, -2.5887890119592436",Chaleur,Solaire thermique,30.0,19.0,Bréhand,22
22015,Bréhand,22,2017,production energetique,015,22015,"48.39371348739721, -2.5887890119592436",Electricité,Solaire PV,152.0,134.0,Bréhand,22
22015,Bréhand,22,2017,production energetique,015,22015,"48.39371348739721, -2.5887890119592436",Chaleur,PAC (aérothermie et géothermie),760.0,598.0,Bréhand,22
22015,Bréhand,22,2017,production energetique,015,22015,"48.39371348739721, -2.5887890119592436",Electricité,Hydroélectricité,0.0,0.0,Bréhand,22
22015,Bréhand,22,2017,production energetique,015,22015,"48.39371348739721, -2.5887890119592436",Chaleur,Bois énergie domestique,3720.0,3140.0,Bréhand,22
22016,Île-de-Bréhat,22,2017,production energetique,016,22016,"48.84999753399896, -3.0020099584464472",Chaleur,Solaire thermique,30.0,19.0,Île-de-Bréhat,22
