CODGEO;LIBGEO;Code département;annee;type;code_com;geo_point;typemetric;nom_com;code_dep;valeur
22039;La Chèze;22;2017;taux natalite;22039;48.13413992879994, -2.66248453321529;Taux brut de natalité (pour mille);La Chèze;22;8.9
22040;Coadout;22;2017;taux natalite;22040;48.51493819543793, -3.1786769355603184;Taux brut de natalité (pour mille);Coadout;22;8.9
22041;Coatascorn;22;2017;taux natalite;22041;48.66956621990305, -3.2552637436482668;Taux brut de natalité (pour mille);Coatascorn;22;8.9
22042;Coatréven;22;2017;taux natalite;22042;48.76341836109597, -3.3259713891013423;Taux brut de natalité (pour mille);Coatréven;22;8.9
22043;Coëtlogon;22;2017;taux natalite;22043;48.132376366176494, -2.543197318567139;Taux brut de natalité (pour mille);Coëtlogon;22;8.9
22044;Coëtmieux;22;2017;taux natalite;22044;48.486604566333924, -2.5922050460710464;Taux brut de natalité (pour mille);Coëtmieux;22;8.9
22045;Cohiniac;22;2017;taux natalite;22045;48.45147352827626, -2.9467183677877835;Taux brut de natalité (pour mille);Cohiniac;22;8.9
22046;Le Mené;22;2017;taux natalite;22046;48.28263378764225, -2.531182377659153;Taux brut de natalité (pour mille);Le Mené;22;8.9
22047;Corlay;22;2017;taux natalite;22047;48.30991342390647, -3.037664422933633;Taux brut de natalité (pour mille);Corlay;22;8.9
22048;Corseul;22;2017;taux natalite;22048;48.48303302788376, -2.1663087926283544;Taux brut de natalité (pour mille);Corseul;22;8.9
22049;Créhen;22;2017;taux natalite;22049;48.53989457783926, -2.19029968087284;Taux brut de natalité (pour mille);Créhen;22;8.9
22050;Dinan;22;2017;taux natalite;22050;48.44612091913673, -2.0513021305898294;Taux brut de natalité (pour mille);Dinan;22;8.9
22052;Duault;22;2017;taux natalite;22052;48.364888158360685, -3.436003914924763;Taux brut de natalité (pour mille);Duault;22;8.9
22053;Éréac;22;2017;taux natalite;22053;48.274287039210606, -2.343933387805328;Taux brut de natalité (pour mille);Éréac;22;8.9
22054;Erquy;22;2017;taux natalite;22054;48.61941709431571, -2.4583856753027256;Taux brut de natalité (pour mille);Erquy;22;8.9
22055;Binic-Étables-sur-Mer;22;2017;taux natalite;22055;48.616854697979164, -2.8378636783415674;Taux brut de natalité (pour mille);Binic-Étables-sur-Mer;22;8.9
22056;Évran;22;2017;taux natalite;22056;48.38491069365288, -1.9800607383794606;Taux brut de natalité (pour mille);Évran;22;8.9
22057;Le Faouët;22;2017;taux natalite;22057;48.67894581661151, -3.07389448983065;Taux brut de natalité (pour mille);Le Faouët;22;8.9
22059;Le Fœil;22;2017;taux natalite;22059;48.41742839393511, -2.9149768281574744;Taux brut de natalité (pour mille);Le Fœil;22;8.9
22060;Gausson;22;2017;taux natalite;22060;48.29305378448452, -2.761208784518627;Taux brut de natalité (pour mille);Gausson;22;8.9
22061;Glomel;22;2017;taux natalite;22061;48.205711014474254, -3.3880569640213585;Taux brut de natalité (pour mille);Glomel;22;8.9
22062;Gomené;22;2017;taux natalite;22062;48.18009823823096, -2.4920269673041373;Taux brut de natalité (pour mille);Gomené;22;8.9
22063;Gommenec'h;22;2017;taux natalite;22063;48.637393629577176, -3.0478214611086005;Taux brut de natalité (pour mille);Gommenec'h;22;8.9
22064;Gouarec;22;2017;taux natalite;22064;48.23557643640287, -3.1955906946679757;Taux brut de natalité (pour mille);Gouarec;22;8.9
22065;Goudelin;22;2017;taux natalite;22065;48.60344887015755, -3.0228218900965196;Taux brut de natalité (pour mille);Goudelin;22;8.9
22067;Grâces;22;2017;taux natalite;22067;48.544781542331755, -3.1824290792102907;Taux brut de natalité (pour mille);Grâces;22;8.9
22068;Grâce-Uzel;22;2017;taux natalite;22068;48.25037219275086, -2.794165709487651;Taux brut de natalité (pour mille);Grâce-Uzel;22;8.9
22069;Guenroc;22;2017;taux natalite;22069;48.313634238785724, -2.0806987621722692;Taux brut de natalité (pour mille);Guenroc;22;8.9
22070;Guingamp;22;2017;taux natalite;22070;48.5606296002789, -3.153483856443051;Taux brut de natalité (pour mille);Guingamp;22;8.9
22071;Guitté;22;2017;taux natalite;22071;48.290858390709175, -2.102006426579971;Taux brut de natalité (pour mille);Guitté;22;8.9
