Code département;Code de la commune;LIBGEO;% Exp/Ins;CODGEO;Score_Gauche;Score_Droite;Score_Divers
22;391;Yvignac-la-Tour;52.17;22391;27.35;72.43;0.22
22;1;Allineuc;59.57;22001;24.45;75.54;0.01
22;2;Andel;56.94;22002;27.79;72.21;0.0
22;9;Le Bodéo;56.49;22009;24.32;75.67;0.01
22;15;Bréhand;53.79;22015;20.85;79.15;0.0
22;27;Le Cambout;57.8;22027;15.0;85.0;0.0
22;33;Caurel;57.52;22033;28.41;71.6;0.0
22;39;La Chèze;55.26;22039;25.54;74.47;0.0
22;43;Coëtlogon;61.35;22043;23.0;77.0;0.0
22;44;Coëtmieux;52.7;22044;25.38;74.61;0.01
22;46;Le Mené;52.89;22046;21.17;78.83;0.0
22;47;Corlay;68.03;22047;19.03;80.97;0.0
22;59;Le Foeil;55.5;22059;29.13;70.87;0.0
22;60;Gausson;56.29;22060;17.37;82.62;0.01
22;62;Gomené;53.2;22062;25.76;74.26;0.0
22;68;Grâce-Uzel;55.59;22068;19.0;81.01;0.0
22;73;La Harmoye;59.02;22073;32.78;67.22;0.0
22;74;Le Haut-Corlay;62.7;22074;13.93;86.08;0.0
22;75;Hémonstoir;57.0;22075;11.19;88.8;0.01
22;79;Hénon;56.31;22079;26.99;73.01;0.0
22;83;Illifaut;58.59;22083;22.48;77.53;0.0
22;84;Jugon-les-Lacs - Commune nouvelle;54.22;22084;32.09;67.93;0.0
22;93;Lamballe-Armor;55.12;22093;29.19;70.82;0.0
22;98;Landéhen;56.28;22098;21.61;78.4;0.0
22;99;Lanfains;56.1;22099;30.44;69.57;0.0
22;122;Laurenan;57.01;22122;28.08;71.92;0.0
22;126;Le Leslay;55.65;22126;29.69;70.32;0.0
22;133;Loscouët-sur-Meu;49.61;22133;23.53;76.47;0.0
22;136;Loudéac;48.92;22136;22.66;77.34;0.0
22;140;La Malhoure;52.58;22140;18.8;81.2;0.0
22;147;Merdrignac;52.22;22147;17.46;82.54;0.0
22;148;Mérillac;65.05;22148;18.18;81.82;0.0
22;149;Merléac;62.7;22149;39.65;60.35;0.0
22;153;Moncontour;50.0;22153;43.22;56.79;0.0
22;155;La Motte;52.83;22155;18.33;81.68;0.0
22;158;Guerlédan;60.97;22158;24.2;75.79;0.01
22;160;Noyal;64.12;22160;33.03;66.95;0.02
22;165;Penguily;52.64;22165;18.41;81.58;0.01
22;170;Plaine-Haute;50.92;22170;27.78;72.22;0.0
22;171;Plaintel;51.66;22171;29.08;70.91;0.01
22;175;Plédéliac;57.24;22175;28.3;71.7;0.0
22;183;Plémet;53.31;22183;19.82;80.19;0.0
22;184;Plémy;55.88;22184;21.04;78.96;0.0
22;185;Plénée-Jugon;53.41;22185;29.97;70.04;0.0
22;193;Plestan;49.27;22193;28.5;71.5;0.0
22;203;Ploeuc-L'Hermitage;53.67;22203;27.28;72.73;0.0
22;219;Plouguenast-Langast;54.96;22219;16.44;83.58;0.0
22;241;Plumieux;60.59;22241;15.04;84.95;0.01
22;244;Plussulien;67.86;22244;26.72;73.26;0.02
22;246;Pommeret;50.38;22246;25.83;74.15;0.02
22;255;La Prénessaye;57.98;22255;21.12;78.88;0.0
22;258;Quessoy;52.05;22258;26.39;73.59;0.02
22;260;Le Quillio;58.29;22260;19.27;80.73;0.0
22;261;Quintenic;54.07;22261;25.34;74.65;0.01
22;262;Quintin;60.05;22262;26.13;73.88;0.0
22;275;Saint-Barnabé;56.09;22275;20.11;79.9;0.0
22;276;Saint-Bihy;63.59;22276;24.78;75.21;0.01
22;277;Saint-Brandan;56.53;22277;23.63;76.36;0.01
22;279;Saint-Caradec;48.02;22279;18.46;81.55;0.0
22;281;Saint-Carreuc;51.56;22281;32.47;67.54;0.0
22;285;Saint-Connec;54.29;22285;30.7;69.29;0.01
22;288;Saint-Etienne-du-Gué-de-l'Isle;56.55;22288;17.88;82.11;0.01
22;291;Saint-Gildas;51.23;22291;23.08;76.91;0.01
22;295;Saint-Gilles-Vieux-Marché;55.87;22295;23.56;76.43;0.01
22;296;Saint-Glen;58.59;22296;21.38;78.61;0.01
22;300;Saint-Hervé;51.69;22300;27.97;72.04;0.0
22;309;Saint-Launeuc;58.39;22309;17.24;82.77;0.0
22;313;Saint-Martin-des-Prés;63.74;22313;14.97;85.03;0.0
22;314;Saint-Maudan;51.45;22314;18.76;81.27;0.0
22;316;Saint-Mayeux;64.49;22316;24.16;75.86;0.0
22;326;Saint-Rieul;51.88;22326;20.77;79.22;0.01
22;330;Saint-Thélo;57.32;22330;19.57;80.43;0.0
22;332;Saint-Trimoël;50.13;22332;27.96;72.05;0.0
22;333;Saint-Vran;51.81;22333;24.25;75.76;0.0
22;341;Tramain;54.75;22341;20.14;79.87;0.0
22;345;Trébry;56.91;22345;26.56;73.43;0.01
22;346;Trédaniel;62.23;22346;19.77;80.22;0.01
22;371;Trémorel;51.84;22371;10.78;89.23;0.0
22;376;Trévé;50.92;22376;15.6;84.39;0.01
22;384;Uzel;60.44;22384;27.9;72.1;0.0
22;386;Le Vieux-Bourg;56.13;22386;19.2;80.79;0.01
22;4;Bégard;48.2;22004;44.39;54.96;0.65
22;5;Belle-Isle-en-Terre;55.15;22005;42.76;57.01;0.23
22;13;Bourbriac;47.31;22013;44.19;55.31;0.5
22;19;Bringolo;53.78;22019;38.38;61.08;0.54
22;23;Bulat-Pestivien;58.97;22023;41.84;56.52;1.64
22;24;Calanhel;64.09;22024;35.34;58.62;6.04
22;25;Callac;56.74;22025;37.24;58.85;3.91
22;29;Canihuel;61.38;22029;29.21;70.78;0.01
22;31;Carnoët;57.23;22031;42.0;54.46;3.54
22;37;La Chapelle-Neuve;73.47;22037;25.01;74.54;0.45
22;40;Coadout;58.08;22040;50.4;49.2;0.4
