CODGEO;LIBGEO;Code département;annee;type;indice_position_sociale;code_com;geo_point;nom_com;code_dep
22050;Dinan;22;2016;indice position sociale lycee;110.63;22050;48.44612091913673, -2.0513021305898294;Dinan;22
22070;Guingamp;22;2016;indice position sociale lycee;99.75;22070;48.5606296002789, -3.153483856443051;Guingamp;22
22093;Lamballe-Armor;22;2016;indice position sociale lycee;100.37;22093;48.48507006191167, -2.529991643442078;Lamballe-Armor;22
22113;Lannion;22;2016;indice position sociale lycee;108.50;22113;48.74372057592956, -3.4613016821377243;Lannion;22
22136;Loudéac;22;2016;indice position sociale lycee;98.10;22136;48.17440032876323, -2.750532416873835;Loudéac;22
22162;Paimpol;22;2016;indice position sociale lycee;105.40;22162;48.77341237427662, -3.0547770418859117;Paimpol;22
22210;Ploubazlanec;22;2016;indice position sociale lycee;83.40;22210;48.80531646998795, -3.044734163599906;Ploubazlanec;22
22262;Quintin;22;2016;indice position sociale lycee;100.40;22262;48.40333804955121, -2.911687900047397;Quintin;22
22266;Rostrenen;22;2016;indice position sociale lycee;94.30;22266;48.221350295199755, -3.311658878688656;Rostrenen;22
22278;Saint-Brieuc;22;2016;indice position sociale lycee;105.79;22278;48.51485172596246, -2.7633107258871803;Saint-Brieuc;22
22325;Saint-Quay-Portrieux;22;2016;indice position sociale lycee;90.90;22325;48.65409653504049, -2.8432806060833724;Saint-Quay-Portrieux;22
22362;Tréguier;22;2016;indice position sociale lycee;104.80;22362;48.78432609355878, -3.2323635346482997;Tréguier;22
29019;Brest;29;2016;indice position sociale lycee;112.40;29019;48.40025315002706, -4.5022743091573005;Brest;29
29024;Carhaix-Plouguer;29;2016;indice position sociale lycee;110.35;29024;48.26874866034538, -3.5660276318224926;Carhaix-Plouguer;29
29026;Châteaulin;29;2016;indice position sociale lycee;106.35;29026;48.2029550902763, -4.073744375880054;Châteaulin;29
29039;Concarneau;29;2016;indice position sociale lycee;107.13;29039;47.896435981192745, -3.9071513793560153;Concarneau;29
29046;Douarnenez;29;2016;indice position sociale lycee;96.83;29046;48.08013693636966, -4.328018989613503;Douarnenez;29
29103;Landerneau;29;2016;indice position sociale lycee;109.07;29103;48.45110778868429, -4.264152882864628;Landerneau;29
29105;Landivisiau;29;2016;indice position sociale lycee;103.35;29105;48.51640261852274, -4.060783070547436;Landivisiau;29
29124;Lesneven;29;2016;indice position sociale lycee;111.20;29124;48.579931585671595, -4.312933724793882;Lesneven;29
29151;Morlaix;29;2016;indice position sociale lycee;104.85;29151;48.600172746985365, -3.820230290300184;Morlaix;29
29162;Pleyben;29;2016;indice position sociale lycee;85.70;29162;48.23806529764443, -3.975576007013348;Pleyben;29
29197;Plouhinec;29;2016;indice position sociale lycee;97.90;29197;48.01422335635547, -4.485638810963973;Plouhinec;29
29220;Pont-l'Abbé;29;2016;indice position sociale lycee;98.00;29220;47.86518510033503, -4.216779264849821;Pont-l'Abbé;29
29232;Quimper;29;2016;indice position sociale lycee;107.90;29232;47.997098062270894, -4.091098521510396;Quimper;29
29233;Quimperlé;29;2016;indice position sociale lycee;105.15;29233;47.856152094565374, -3.555022112400577;Quimperlé;29
29259;Saint-Pol-de-Léon;29;2016;indice position sociale lycee;94.60;29259;48.67261399484696, -3.9889649514467895;Saint-Pol-de-Léon;29
29302;Pont-de-Buis-lès-Quimerch;29;2016;indice position sociale lycee;81.90;29302;48.274461596785976, -4.1076167058104955;Pont-de-Buis-lès-Quimerch;29
35012;Bain-de-Bretagne;35;2016;indice position sociale lycee;111.70;35012;47.830231648923785, -1.6763369438514282;Bain-de-Bretagne;35
35047;Bruz;35;2016;indice position sociale lycee;127.60;35047;48.025913217225295, -1.7485061399065818;Bruz;35
35051;Cesson-Sévigné;35;2016;indice position sociale lycee;125.20;35051;48.12039966477695, -1.5972458503417073;Cesson-Sévigné;35
35085;Combourg;35;2016;indice position sociale lycee;113.40;35085;48.408753699983144, -1.7453444163953886;Combourg;35
35093;Dinard;35;2016;indice position sociale lycee;111.40;35093;48.6247418029858, -2.062086402017181;Dinard;35
35095;Dol-de-Bretagne;35;2016;indice position sociale lycee;91.05;35095;48.53657645489995, -1.7420828657421403;Dol-de-Bretagne;35
35115;Fougères;35;2016;indice position sociale lycee;99.23;35115;48.35276718322625, -1.1944135772968316;Fougères;35
35125;La Guerche-de-Bretagne;35;2016;indice position sociale lycee;109.00;35125;47.943904868425264, -1.2432228880104614;La Guerche-de-Bretagne;35
35184;Montauban-de-Bretagne;35;2016;indice position sociale lycee;109.70;35184;48.20427298994769, -2.0654492330225964;Montauban-de-Bretagne;35
35188;Montfort-sur-Meu;35;2016;indice position sociale lycee;117.70;35188;48.1261161434467, -1.9639345184295152;Montfort-sur-Meu;35
35236;Redon;35;2016;indice position sociale lycee;101.66;35236;47.66121677716608, -2.080163096315868;Redon;35
35238;Rennes;35;2016;indice position sociale lycee;113.25;35238;48.11167956598057, -1.6818689569630096;Rennes;35
35240;Le Rheu;35;2016;indice position sociale lycee;123.10;35240;48.097275606268866, -1.7810066434882224;Le Rheu;35
35278;Saint-Grégoire;35;2016;indice position sociale lycee;132.00;35278;48.15849263307686, -1.685339999670711;Saint-Grégoire;35
35288;Saint-Malo;35;2016;indice position sociale lycee;107.66;35288;48.64003675777474, -1.9808472198720661;Saint-Malo;35
35297;Saint-Méen-le-Grand;35;2016;indice position sociale lycee;100.70;35297;48.19234019983671, -2.1949712086050135;Saint-Méen-le-Grand;35
35337;Tinténiac;35;2016;indice position sociale lycee;82.70;35337;48.323509655712265, -1.8299439794584789;Tinténiac;35
35360;Vitré;35;2016;indice position sociale lycee;100.63;35360;48.11411110392002, -1.1934825616829488;Vitré;35
56007;Auray;56;2016;indice position sociale lycee;111.55;56007;47.66748009764836, -2.990485003314689;Auray;56
56055;Étel;56;2016;indice position sociale lycee;87.60;56055;47.65668268418407, -3.198361132823938;Étel;56
56066;Gourin;56;2016;indice position sociale lycee;92.50;56066;48.13658848473797, -3.604143385699294;Gourin;56
56075;Guer;56;2016;indice position sociale lycee;100.10;56075;47.907834204843375, -2.1291416938091445;Guer;56
56083;Hennebont;56;2016;indice position sociale lycee;106.43;56083;47.80760381235834, -3.270365675295573;Hennebont;56
56091;Josselin;56;2016;indice position sociale lycee;80.70;56091;47.95410919481656, -2.5478970675285364;Josselin;56
56098;Lanester;56;2016;indice position sociale lycee;109.60;56098;47.7687942559813, -3.3274296933541865;Lanester;56
56117;Locminé;56;2016;indice position sociale lycee;85.20;56117;47.88013020822618, -2.8375421312081484;Locminé;56
56121;Lorient;56;2016;indice position sociale lycee;107.64;56121;47.75071301573847, -3.378920874280433;Lorient;56
56162;Ploemeur;56;2016;indice position sociale lycee;89.70;56162;47.73253803650636, -3.4422692007023734;Ploemeur;56
56165;Ploërmel;56;2016;indice position sociale lycee;105.10;56165;47.91735560263944, -2.3799161293791484;Ploërmel;56
56178;Pontivy;56;2016;indice position sociale lycee;97.73;56178;48.07319555613593, -2.9706396858952147;Pontivy;56
56181;Port-Louis;56;2016;indice position sociale lycee;90.00;56181;47.70963263626797, -3.3496637660344617;Port-Louis;56
56182;Priziac;56;2016;indice position sociale lycee;90.80;56182;48.055586046532774, -3.4350791454637206;Priziac;56
56184;Questembert;56;2016;indice position sociale lycee;105.60;56184;47.6639367378623, -2.436508004592603;Questembert;56
56260;Vannes;56;2016;indice position sociale lycee;109.59;56260;47.659813652734925, -2.7570920082373913;Vannes;56
56263;Sainte-Anne-d'Auray;56;2016;indice position sociale lycee;115.30;56263;47.70040779589602, -2.9528589698396592;Sainte-Anne-d'Auray;56
