LIBGEO;CODGEO;filiere;energie_type;production_mwh;puissances_kw;Code département;Code de la commune
Bringolo;22019;Solaire PV;Electricité;45.0;40.0;22;019
Bringolo;22019;Solaire thermique;Chaleur;5.0;10.0;22;019
Broons;22020;Bois énergie domestique;Chaleur;4978.0;5897.0;22;020
Broons;22020;Éolien terrestre;Electricité;0.0;0.0;22;020
Broons;22020;Hydroélectricité;Electricité;0.0;0.0;22;020
Broons;22020;Méthanisation;Chaleur;0.0;0.0;22;020
Broons;22020;Méthanisation;Electricité;0.0;0.0;22;020
Broons;22020;PAC (aérothermie et géothermie);Chaleur;1018.0;1294.0;22;020
Broons;22020;Solaire PV;Electricité;39.0;41.0;22;020
Broons;22020;Solaire thermique;Chaleur;32.0;40.0;22;020
Brusvily;22021;Bois énergie domestique;Chaleur;2306.0;2732.0;22;021
Brusvily;22021;Hydroélectricité;Electricité;0.0;0.0;22;021
Brusvily;22021;PAC (aérothermie et géothermie);Chaleur;445.0;566.0;22;021
Brusvily;22021;Solaire thermique;Chaleur;14.0;20.0;22;021
Bulat-Pestivien;22023;Bois énergie domestique;Chaleur;967.0;1146.0;22;023
Bulat-Pestivien;22023;Hydroélectricité;Electricité;0.0;0.0;22;023
Bulat-Pestivien;22023;PAC (aérothermie et géothermie);Chaleur;257.0;327.0;22;023
Bulat-Pestivien;22023;Solaire thermique;Chaleur;8.0;10.0;22;023
Calanhel;22024;Bois énergie domestique;Chaleur;546.0;647.0;22;024
Calanhel;22024;Éolien terrestre;Electricité;7953.0;5100.0;22;024
Calanhel;22024;Hydroélectricité;Electricité;0.0;0.0;22;024
Calanhel;22024;PAC (aérothermie et géothermie);Chaleur;141.0;179.0;22;024
Calanhel;22024;Solaire thermique;Chaleur;4.0;10.0;22;024
Callac;22025;Bois énergie chaufferies;Chaleur;3606.0;1655.0;22;025
Callac;22025;Bois énergie domestique;Chaleur;4727.0;5601.0;22;025
Callac;22025;Éolien terrestre;Electricité;0.0;0.0;22;025
Callac;22025;Hydroélectricité;Electricité;0.0;0.0;22;025
Callac;22025;PAC (aérothermie et géothermie);Chaleur;1086.0;1381.0;22;025
Callac;22025;Solaire PV;Electricité;79.0;95.0;22;025
Callac;22025;Solaire thermique;Chaleur;34.0;50.0;22;025
Calorguen;22026;Bois énergie domestique;Chaleur;1399.0;1658.0;22;026
Calorguen;22026;Hydroélectricité;Electricité;0.0;0.0;22;026
Calorguen;22026;PAC (aérothermie et géothermie);Chaleur;273.0;348.0;22;026
Calorguen;22026;Solaire PV;Electricité;67.0;70.0;22;026
Calorguen;22026;Solaire thermique;Chaleur;9.0;10.0;22;026
Le Cambout;22027;Bois énergie domestique;Chaleur;915.0;1085.0;22;027
Le Cambout;22027;Hydroélectricité;Electricité;0.0;0.0;22;027
Le Cambout;22027;PAC (aérothermie et géothermie);Chaleur;228.0;290.0;22;027
Le Cambout;22027;Solaire thermique;Chaleur;7.0;10.0;22;027
Camlez;22028;Bois énergie domestique;Chaleur;1472.0;1744.0;22;028
Camlez;22028;Fossile;Chaleur;7315.0;2280.0;22;028
Camlez;22028;Fossile;Electricité;6502.0;2027.0;22;028
Camlez;22028;Hydroélectricité;Electricité;0.0;0.0;22;028
Camlez;22028;PAC (aérothermie et géothermie);Chaleur;352.0;448.0;22;028
Camlez;22028;Solaire PV;Electricité;67.0;65.0;22;028
Camlez;22028;Solaire thermique;Chaleur;11.0;20.0;22;028
Canihuel;22029;Bois énergie domestique;Chaleur;793.0;939.0;22;029
Canihuel;22029;Hydroélectricité;Electricité;0.0;0.0;22;029
Canihuel;22029;PAC (aérothermie et géothermie);Chaleur;206.0;262.0;22;029
Canihuel;22029;Solaire thermique;Chaleur;6.0;10.0;22;029
Caouënnec-Lanvézéac;22030;Bois énergie domestique;Chaleur;1479.0;1752.0;22;030
Caouënnec-Lanvézéac;22030;Hydroélectricité;Electricité;0.0;0.0;22;030
Caouënnec-Lanvézéac;22030;PAC (aérothermie et géothermie);Chaleur;314.0;399.0;22;030
Caouënnec-Lanvézéac;22030;Solaire PV;Electricité;158.0;140.0;22;030
Caouënnec-Lanvézéac;22030;Solaire thermique;Chaleur;10.0;10.0;22;030
Carnoët;22031;Bois énergie domestique;Chaleur;1499.0;1775.0;22;031
Carnoët;22031;Hydroélectricité;Electricité;0.0;0.0;22;031
Carnoët;22031;PAC (aérothermie et géothermie);Chaleur;383.0;488.0;22;031
Carnoët;22031;Solaire PV;Electricité;110.0;104.0;22;031
Carnoët;22031;Solaire thermique;Chaleur;12.0;20.0;22;031
Caulnes;22032;Bois énergie domestique;Chaleur;4689.0;5556.0;22;032
Caulnes;22032;Hydroélectricité;Electricité;0.0;0.0;22;032
Caulnes;22032;PAC (aérothermie et géothermie);Chaleur;924.0;1175.0;22;032
Caulnes;22032;Solaire PV;Electricité;126.0;119.0;22;032
Caulnes;22032;Solaire thermique;Chaleur;29.0;40.0;22;032
Caurel;22033;Bois énergie domestique;Chaleur;905.0;1072.0;22;033
Caurel;22033;Éolien terrestre;Electricité;2968.0;2550.0;22;033
Caurel;22033;Hydroélectricité;Electricité;0.0;0.0;22;033
Caurel;22033;PAC (aérothermie et géothermie);Chaleur;287.0;365.0;22;033
Caurel;22033;Solaire thermique;Chaleur;9.0;10.0;22;033
Cavan;22034;Bois énergie chaufferies;Chaleur;170.0;155.0;22;034
Cavan;22034;Bois énergie domestique;Chaleur;2614.0;3097.0;22;034
Cavan;22034;Hydroélectricité;Electricité;0.0;0.0;22;034
Cavan;22034;PAC (aérothermie et géothermie);Chaleur;557.0;709.0;22;034
Cavan;22034;Solaire PV;Electricité;65.0;66.0;22;034
Cavan;22034;Solaire thermique;Chaleur;17.0;20.0;22;034
Les Champs-Géraux;22035;Bois énergie chaufferies;Chaleur;32.0;100.0;22;035
Les Champs-Géraux;22035;Bois énergie domestique;Chaleur;2115.0;2506.0;22;035
Les Champs-Géraux;22035;Hydroélectricité;Electricité;0.0;0.0;22;035
Les Champs-Géraux;22035;PAC (aérothermie et géothermie);Chaleur;431.0;549.0;22;035
Les Champs-Géraux;22035;Solaire PV;Electricité;59.0;61.0;22;035
Les Champs-Géraux;22035;Solaire thermique;Chaleur;14.0;20.0;22;035
La Chapelle-Blanche;22036;Bois énergie chaufferies;Chaleur;55.0;65.0;22;036
La Chapelle-Blanche;22036;Bois énergie domestique;Chaleur;343.0;406.0;22;036
La Chapelle-Blanche;22036;Hydroélectricité;Electricité;0.0;0.0;22;036
La Chapelle-Blanche;22036;Méthanisation;Chaleur;0.0;0.0;22;036
La Chapelle-Blanche;22036;Méthanisation;Electricité;0.0;0.0;22;036
La Chapelle-Blanche;22036;PAC (aérothermie et géothermie);Chaleur;86.0;109.0;22;036
La Chapelle-Blanche;22036;Solaire thermique;Chaleur;3.0;0.0;22;036
La Chapelle-Neuve;22037;Bois énergie domestique;Chaleur;898.0;1064.0;22;037
La Chapelle-Neuve;22037;Éolien terrestre;Electricité;0.0;0.0;22;037
La Chapelle-Neuve;22037;Hydroélectricité;Electricité;0.0;0.0;22;037
La Chapelle-Neuve;22037;PAC (aérothermie et géothermie);Chaleur;241.0;306.0;22;037
La Chapelle-Neuve;22037;Solaire thermique;Chaleur;8.0;10.0;22;037
La Chèze;22039;Bois énergie domestique;Chaleur;1125.0;1333.0;22;039
La Chèze;22039;Hydroélectricité;Electricité;0.0;0.0;22;039
La Chèze;22039;PAC (aérothermie et géothermie);Chaleur;239.0;304.0;22;039
La Chèze;22039;Solaire thermique;Chaleur;8.0;10.0;22;039
Coadout;22040;Bois énergie domestique;Chaleur;1103.0;1306.0;22;040
Coadout;22040;Hydroélectricité;Electricité;0.0;0.0;22;040
Coadout;22040;PAC (aérothermie et géothermie);Chaleur;217.0;276.0;22;040
Coadout;22040;Solaire thermique;Chaleur;7.0;10.0;22;040
Coatascorn;22041;Bois énergie domestique;Chaleur;446.0;528.0;22;041
Coatascorn;22041;Hydroélectricité;Electricité;0.0;0.0;22;041
