CODGEO,LIBGEO,Code département,annee,type,code_de_la_commune,code_com,geo_point,energie_type,filiere,puissances_kw,production_mwh,nom_com,code_dep
22006,Berhet,22,2024,production energetique,006,22006,"48.69750531447889, -3.308461332158849",Chaleur,Bois énergie domestique,542.0,434.0,Berhet,22
22008,Bobital,22,2024,production energetique,008,22008,"48.41461576165647, -2.0974341309190154",Chaleur,Solaire thermique,20.0,16.0,Bobital,22
22008,Bobital,22,2024,production energetique,008,22008,"48.41461576165647, -2.0974341309190154",Chaleur,PAC (aérothermie et géothermie),1334.0,953.0,Bobital,22
22008,Bobital,22,2024,production energetique,008,22008,"48.41461576165647, -2.0974341309190154",Electricité,Hydroélectricité,0.0,0.0,Bobital,22
22008,Bobital,22,2024,production energetique,008,22008,"48.41461576165647, -2.0974341309190154",Chaleur,Bois énergie domestique,2782.0,2231.0,Bobital,22
22009,Le Bodéo,22,2024,production energetique,009,22009,"48.32624169771798, -2.9213545296739416",Chaleur,Solaire thermique,10.0,4.0,Le Bodéo,22
22009,Le Bodéo,22,2024,production energetique,009,22009,"48.32624169771798, -2.9213545296739416",Electricité,Solaire PV,65.0,78.0,Le Bodéo,22
22009,Le Bodéo,22,2024,production energetique,009,22009,"48.32624169771798, -2.9213545296739416",Chaleur,PAC (aérothermie et géothermie),308.0,220.0,Le Bodéo,22
22009,Le Bodéo,22,2024,production energetique,009,22009,"48.32624169771798, -2.9213545296739416",Electricité,Hydroélectricité,0.0,0.0,Le Bodéo,22
22009,Le Bodéo,22,2024,production energetique,009,22009,"48.32624169771798, -2.9213545296739416",Chaleur,Bois énergie domestique,442.0,355.0,Le Bodéo,22
22011,Boqueho,22,2024,production energetique,011,22011,"48.46832061079392, -2.9849252040192678",Chaleur,Solaire thermique,20.0,14.0,Boqueho,22
22011,Boqueho,22,2024,production energetique,011,22011,"48.46832061079392, -2.9849252040192678",Electricité,Solaire PV,152.0,53.0,Boqueho,22
22011,Boqueho,22,2024,production energetique,011,22011,"48.46832061079392, -2.9849252040192678",Chaleur,PAC (aérothermie et géothermie),1206.0,862.0,Boqueho,22
22011,Boqueho,22,2024,production energetique,011,22011,"48.46832061079392, -2.9849252040192678",Electricité,Hydroélectricité,0.0,0.0,Boqueho,22
22011,Boqueho,22,2024,production energetique,011,22011,"48.46832061079392, -2.9849252040192678",Electricité,Éolien terrestre,4000.0,11015.0,Boqueho,22
22011,Boqueho,22,2024,production energetique,011,22011,"48.46832061079392, -2.9849252040192678",Chaleur,Bois énergie domestique,2168.0,1738.0,Boqueho,22
