CODGEO,LIBGEO,Code département,annee,type,taux_brut_de_natalit___pour_mille_
22082,Le Hinglé,22,2022,Taux brut de natalité (pour mille),8.2
22083,Illifaut,22,2022,Taux brut de natalité (pour mille),8.2
22084,Jugon-les-Lacs,22,2022,Taux brut de natalité (pour mille),8.2
22085,Kerbors,22,2022,Taux brut de natalité (pour mille),8.2
22086,Kerfot,22,2022,Taux brut de natalité (pour mille),8.2
22087,Kergrist-Moëlou,22,2022,Taux brut de natalité (pour mille),8.2
22088,Kerien,22,2022,Taux brut de natalité (pour mille),8.2
22090,Kermaria-Sulard,22,2022,Taux brut de natalité (pour mille),8.2
22091,Kermoroc'h,22,2022,Taux brut de natalité (pour mille),8.2
22092,Kerpert,22,2022,Taux brut de natalité (pour mille),8.2
22093,Lamballe-Armor,22,2022,Taux brut de natalité (pour mille),8.2
22094,Lancieux,22,2022,Taux brut de natalité (pour mille),8.2
22095,Landebaëron,22,2022,Taux brut de natalité (pour mille),8.2
22096,Landébia,22,2022,Taux brut de natalité (pour mille),8.2
22097,La Landec,22,2022,Taux brut de natalité (pour mille),8.2
22098,Landéhen,22,2022,Taux brut de natalité (pour mille),8.2
22099,Lanfains,22,2022,Taux brut de natalité (pour mille),8.2
22101,Langoat,22,2022,Taux brut de natalité (pour mille),8.2
22103,Langrolay-sur-Rance,22,2022,Taux brut de natalité (pour mille),8.2
22104,Languédias,22,2022,Taux brut de natalité (pour mille),8.2
22105,Languenan,22,2022,Taux brut de natalité (pour mille),8.2
22106,Langueux,22,2022,Taux brut de natalité (pour mille),8.2
22107,Bon Repos sur Blavet,22,2022,Taux brut de natalité (pour mille),8.2
22108,Lanleff,22,2022,Taux brut de natalité (pour mille),8.2
22109,Lanloup,22,2022,Taux brut de natalité (pour mille),8.2
22110,Lanmérin,22,2022,Taux brut de natalité (pour mille),8.2
22111,Lanmodez,22,2022,Taux brut de natalité (pour mille),8.2
22112,Lannebert,22,2022,Taux brut de natalité (pour mille),8.2
22113,Lannion,22,2022,Taux brut de natalité (pour mille),8.2
22114,Lanrelas,22,2022,Taux brut de natalité (pour mille),8.2
22115,Lanrivain,22,2022,Taux brut de natalité (pour mille),8.2
22116,Lanrodec,22,2022,Taux brut de natalité (pour mille),8.2
22117,Lantic,22,2022,Taux brut de natalité (pour mille),8.2
22118,Lanvallay,22,2022,Taux brut de natalité (pour mille),8.2
22119,Lanvellec,22,2022,Taux brut de natalité (pour mille),8.2
22121,Lanvollon,22,2022,Taux brut de natalité (pour mille),8.2
22122,Laurenan,22,2022,Taux brut de natalité (pour mille),8.2
22124,Lescouët-Gouarec,22,2022,Taux brut de natalité (pour mille),8.2
22126,Le Leslay,22,2022,Taux brut de natalité (pour mille),8.2
22127,Lézardrieux,22,2022,Taux brut de natalité (pour mille),8.2
22128,Locarn,22,2022,Taux brut de natalité (pour mille),8.2
22129,Loc-Envel,22,2022,Taux brut de natalité (pour mille),8.2
22131,Loguivy-Plougras,22,2022,Taux brut de natalité (pour mille),8.2
22132,Lohuec,22,2022,Taux brut de natalité (pour mille),8.2
22133,Loscouët-sur-Meu,22,2022,Taux brut de natalité (pour mille),8.2
22134,Louannec,22,2022,Taux brut de natalité (pour mille),8.2
22135,Louargat,22,2022,Taux brut de natalité (pour mille),8.2
22136,Loudéac,22,2022,Taux brut de natalité (pour mille),8.2
22137,Maël-Carhaix,22,2022,Taux brut de natalité (pour mille),8.2
22138,Maël-Pestivien,22,2022,Taux brut de natalité (pour mille),8.2
22139,Magoar,22,2022,Taux brut de natalité (pour mille),8.2
22140,La Malhoure,22,2022,Taux brut de natalité (pour mille),8.2
22141,Mantallot,22,2022,Taux brut de natalité (pour mille),8.2
22143,Matignon,22,2022,Taux brut de natalité (pour mille),8.2
22144,La Méaugon,22,2022,Taux brut de natalité (pour mille),8.2
22145,Mégrit,22,2022,Taux brut de natalité (pour mille),8.2
22146,Mellionnec,22,2022,Taux brut de natalité (pour mille),8.2
22147,Merdrignac,22,2022,Taux brut de natalité (pour mille),8.2
22148,Mérillac,22,2022,Taux brut de natalité (pour mille),8.2
22149,Merléac,22,2022,Taux brut de natalité (pour mille),8.2
22150,Le Merzer,22,2022,Taux brut de natalité (pour mille),8.2
22152,Minihy-Tréguier,22,2022,Taux brut de natalité (pour mille),8.2
22153,Moncontour,22,2022,Taux brut de natalité (pour mille),8.2
22155,La Motte,22,2022,Taux brut de natalité (pour mille),8.2
22156,Moustéru,22,2022,Taux brut de natalité (pour mille),8.2
22157,Le Moustoir,22,2022,Taux brut de natalité (pour mille),8.2
22158,Guerlédan,22,2022,Taux brut de natalité (pour mille),8.2
22160,Noyal,22,2022,Taux brut de natalité (pour mille),8.2
22161,Pabu,22,2022,Taux brut de natalité (pour mille),8.2
22162,Paimpol,22,2022,Taux brut de natalité (pour mille),8.2
22163,Paule,22,2022,Taux brut de natalité (pour mille),8.2
22164,Pédernec,22,2022,Taux brut de natalité (pour mille),8.2
22165,Penguily,22,2022,Taux brut de natalité (pour mille),8.2
22166,Penvénan,22,2022,Taux brut de natalité (pour mille),8.2
22168,Perros-Guirec,22,2022,Taux brut de natalité (pour mille),8.2
22169,Peumerit-Quintin,22,2022,Taux brut de natalité (pour mille),8.2
22170,Plaine-Haute,22,2022,Taux brut de natalité (pour mille),8.2
22171,Plaintel,22,2022,Taux brut de natalité (pour mille),8.2
22172,Plancoët,22,2022,Taux brut de natalité (pour mille),8.2
22174,Pléboulle,22,2022,Taux brut de natalité (pour mille),8.2
22175,Plédéliac,22,2022,Taux brut de natalité (pour mille),8.2
22176,Plédran,22,2022,Taux brut de natalité (pour mille),8.2
22177,Pléguien,22,2022,Taux brut de natalité (pour mille),8.2
22178,Pléhédel,22,2022,Taux brut de natalité (pour mille),8.2
22179,Fréhel,22,2022,Taux brut de natalité (pour mille),8.2
22180,Plélan-le-Petit,22,2022,Taux brut de natalité (pour mille),8.2
22181,Plélauff,22,2022,Taux brut de natalité (pour mille),8.2
22182,Plélo,22,2022,Taux brut de natalité (pour mille),8.2
22183,Plémet,22,2022,Taux brut de natalité (pour mille),8.2
22184,Plémy,22,2022,Taux brut de natalité (pour mille),8.2
22185,Plénée-Jugon,22,2022,Taux brut de natalité (pour mille),8.2
22186,Pléneuf-Val-André,22,2022,Taux brut de natalité (pour mille),8.2
